Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 28 , 201 ) = 1
2.muchia  ( 55 , 104 ) = 1
3.muchia  ( 63 , 306 ) = 1
4.muchia  ( 86 , 179 ) = 1
5.muchia  ( 96 , 231 ) = 1
6.muchia  ( 106 , 136 ) = 1
7.muchia  ( 117 , 184 ) = 1
8.muchia  ( 139 , 316 ) = 1
9.muchia  ( 205 , 382 ) = 1
10.muchia  ( 7 , 203 ) = 2
11.muchia  ( 26 , 270 ) = 2
12.muchia  ( 81 , 98 ) = 2
13.muchia  ( 87 , 307 ) = 2
14.muchia  ( 92 , 206 ) = 2
15.muchia  ( 131 , 241 ) = 2
16.muchia  ( 149 , 198 ) = 2
17.muchia  ( 106 , 131 ) = 3
18.muchia  ( 160 , 199 ) = 3
19.muchia  ( 173 , 390 ) = 3
20.muchia  ( 195 , 306 ) = 3
21.muchia  ( 280 , 335 ) = 3
22.muchia  ( 6 , 143 ) = 4
23.muchia  ( 33 , 82 ) = 4
24.muchia  ( 57 , 181 ) = 4
25.muchia  ( 73 , 320 ) = 4
26.muchia  ( 100 , 362 ) = 4
27.muchia  ( 180 , 308 ) = 4
28.muchia  ( 348 , 392 ) = 4
29.muchia  ( 14 , 379 ) = 5
30.muchia  ( 51 , 291 ) = 5
31.muchia  ( 58 , 373 ) = 5
32.muchia  ( 76 , 342 ) = 5
33.muchia  ( 119 , 172 ) = 5
34.muchia  ( 143 , 224 ) = 5
35.muchia  ( 162 , 262 ) = 5
36.muchia  ( 193 , 235 ) = 5
37.muchia  ( 220 , 308 ) = 5
38.muchia  ( 312 , 336 ) = 5
39.muchia  ( 24 , 220 ) = 6
40.muchia  ( 39 , 393 ) = 6
41.muchia  ( 92 , 311 ) = 6
42.muchia  ( 113 , 165 ) = 6
43.muchia  ( 128 , 370 ) = 6
44.muchia  ( 211 , 272 ) = 6
45.muchia  ( 256 , 301 ) = 6
46.muchia  ( 299 , 319 ) = 6
47.muchia  ( 29 , 174 ) = 7
48.muchia  ( 76 , 394 ) = 7
49.muchia  ( 88 , 302 ) = 7
50.muchia  ( 90 , 228 ) = 7
51.muchia  ( 102 , 188 ) = 7
52.muchia  ( 141 , 384 ) = 7
53.muchia  ( 227 , 256 ) = 7
54.muchia  ( 271 , 291 ) = 7
55.muchia  ( 306 , 337 ) = 7
56.muchia  ( 13 , 53 ) = 8
57.muchia  ( 76 , 101 ) = 8
58.muchia  ( 76 , 189 ) = 8
59.muchia  ( 79 , 355 ) = 8
60.muchia  ( 101 , 390 ) = 8
61.muchia  ( 112 , 229 ) = 8
62.muchia  ( 156 , 373 ) = 8
63.muchia  ( 175 , 325 ) = 8
64.muchia  ( 193 , 301 ) = 8
65.muchia  ( 210 , 333 ) = 8
66.muchia  ( 6 , 373 ) = 9
67.muchia  ( 28 , 303 ) = 9
68.muchia  ( 89 , 174 ) = 9
69.muchia  ( 89 , 398 ) = 9
70.muchia  ( 138 , 321 ) = 9
71.muchia  ( 142 , 352 ) = 9
72.muchia  ( 142 , 392 ) = 9
73.muchia  ( 219 , 343 ) = 9
74.muchia  ( 293 , 354 ) = 9
75.muchia  ( 3 , 350 ) = 10
76.muchia  ( 14 , 89 ) = 10
77.muchia  ( 23 , 198 ) = 10
78.muchia  ( 95 , 148 ) = 10
79.muchia  ( 101 , 271 ) = 10
80.muchia  ( 126 , 257 ) = 10
81.muchia  ( 149 , 204 ) = 10
82.muchia  ( 187 , 277 ) = 10
83.muchia  ( 190 , 298 ) = 10
84.muchia  ( 196 , 201 ) = 10
85.muchia  ( 209 , 343 ) = 10
86.muchia  ( 229 , 335 ) = 10
87.muchia  ( 261 , 285 ) = 10
88.muchia  ( 310 , 370 ) = 10
89.muchia  ( 2 , 264 ) = 11
90.muchia  ( 65 , 359 ) = 11
91.muchia  ( 144 , 343 ) = 11
92.muchia  ( 213 , 294 ) = 11
93.muchia  ( 316 , 388 ) = 11
94.muchia  ( 56 , 292 ) = 12
95.muchia  ( 106 , 240 ) = 12
96.muchia  ( 189 , 359 ) = 12
97.muchia  ( 197 , 282 ) = 12
98.muchia  ( 202 , 322 ) = 12
99.muchia  ( 234 , 389 ) = 12
100.muchia  ( 311 , 364 ) = 12
101.muchia  ( 346 , 398 ) = 12
102.muchia  ( 0 , 158 ) = 13
103.muchia  ( 16 , 163 ) = 13
104.muchia  ( 23 , 106 ) = 13
105.muchia  ( 58 , 238 ) = 13
106.muchia  ( 116 , 196 ) = 13
107.muchia  ( 118 , 263 ) = 13
108.muchia  ( 141 , 333 ) = 13
109.muchia  ( 153 , 308 ) = 13
110.muchia  ( 181 , 235 ) = 13
111.muchia  ( 273 , 385 ) = 13
112.muchia  ( 303 , 327 ) = 13
113.muchia  ( 6 , 384 ) = 14
114.muchia  ( 17 , 347 ) = 14
