Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 17 , 160 ) = 1
2.muchia  ( 24 , 658 ) = 1
3.muchia  ( 43 , 696 ) = 1
4.muchia  ( 67 , 494 ) = 1
5.muchia  ( 92 , 164 ) = 1
6.muchia  ( 101 , 600 ) = 1
7.muchia  ( 137 , 222 ) = 1
8.muchia  ( 169 , 641 ) = 1
9.muchia  ( 181 , 468 ) = 1
10.muchia  ( 203 , 292 ) = 1
11.muchia  ( 233 , 618 ) = 1
12.muchia  ( 236 , 629 ) = 1
13.muchia  ( 275 , 467 ) = 1
14.muchia  ( 303 , 391 ) = 1
15.muchia  ( 391 , 533 ) = 1
16.muchia  ( 396 , 697 ) = 1
17.muchia  ( 574 , 635 ) = 1
18.muchia  ( 17 , 668 ) = 2
19.muchia  ( 31 , 672 ) = 2
20.muchia  ( 35 , 668 ) = 2
21.muchia  ( 36 , 260 ) = 2
22.muchia  ( 54 , 256 ) = 2
23.muchia  ( 82 , 255 ) = 2
24.muchia  ( 88 , 677 ) = 2
25.muchia  ( 90 , 215 ) = 2
26.muchia  ( 97 , 253 ) = 2
27.muchia  ( 109 , 475 ) = 2
28.muchia  ( 118 , 205 ) = 2
29.muchia  ( 162 , 272 ) = 2
30.muchia  ( 215 , 321 ) = 2
31.muchia  ( 224 , 296 ) = 2
32.muchia  ( 247 , 398 ) = 2
33.muchia  ( 262 , 672 ) = 2
34.muchia  ( 308 , 427 ) = 2
35.muchia  ( 315 , 494 ) = 2
36.muchia  ( 365 , 557 ) = 2
37.muchia  ( 366 , 413 ) = 2
38.muchia  ( 372 , 467 ) = 2
39.muchia  ( 382 , 659 ) = 2
40.muchia  ( 386 , 639 ) = 2
41.muchia  ( 431 , 629 ) = 2
42.muchia  ( 502 , 686 ) = 2
43.muchia  ( 554 , 681 ) = 2
44.muchia  ( 590 , 680 ) = 2
45.muchia  ( 627 , 690 ) = 2
46.muchia  ( 630 , 670 ) = 2
47.muchia  ( 0 , 76 ) = 3
48.muchia  ( 13 , 161 ) = 3
49.muchia  ( 79 , 632 ) = 3
50.muchia  ( 108 , 466 ) = 3
51.muchia  ( 110 , 653 ) = 3
52.muchia  ( 116 , 429 ) = 3
53.muchia  ( 122 , 244 ) = 3
54.muchia  ( 174 , 232 ) = 3
55.muchia  ( 258 , 414 ) = 3
56.muchia  ( 262 , 559 ) = 3
57.muchia  ( 315 , 324 ) = 3
58.muchia  ( 349 , 667 ) = 3
59.muchia  ( 373 , 677 ) = 3
60.muchia  ( 408 , 615 ) = 3
61.muchia  ( 472 , 673 ) = 3
62.muchia  ( 500 , 662 ) = 3
63.muchia  ( 571 , 606 ) = 3
64.muchia  ( 636 , 696 ) = 3
65.muchia  ( 0 , 35 ) = 4
66.muchia  ( 8 , 121 ) = 4
67.muchia  ( 14 , 484 ) = 4
68.muchia  ( 40 , 454 ) = 4
69.muchia  ( 60 , 145 ) = 4
70.muchia  ( 67 , 256 ) = 4
71.muchia  ( 90 , 295 ) = 4
72.muchia  ( 113 , 343 ) = 4
73.muchia  ( 113 , 399 ) = 4
74.muchia  ( 120 , 493 ) = 4
75.muchia  ( 170 , 391 ) = 4
76.muchia  ( 186 , 334 ) = 4
77.muchia  ( 221 , 336 ) = 4
78.muchia  ( 233 , 486 ) = 4
79.muchia  ( 260 , 596 ) = 4
80.muchia  ( 264 , 418 ) = 4
81.muchia  ( 265 , 625 ) = 4
82.muchia  ( 283 , 699 ) = 4
83.muchia  ( 284 , 634 ) = 4
84.muchia  ( 294 , 398 ) = 4
85.muchia  ( 373 , 467 ) = 4
86.muchia  ( 374 , 621 ) = 4
87.muchia  ( 390 , 594 ) = 4
88.muchia  ( 435 , 465 ) = 4
89.muchia  ( 449 , 469 ) = 4
90.muchia  ( 495 , 572 ) = 4
91.muchia  ( 542 , 634 ) = 4
92.muchia  ( 645 , 655 ) = 4
93.muchia  ( 65 , 493 ) = 5
94.muchia  ( 78 , 459 ) = 5
95.muchia  ( 86 , 147 ) = 5
96.muchia  ( 88 , 391 ) = 5
97.muchia  ( 94 , 409 ) = 5
98.muchia  ( 105 , 343 ) = 5
99.muchia  ( 124 , 604 ) = 5
100.muchia  ( 134 , 515 ) = 5
101.muchia  ( 150 , 547 ) = 5
102.muchia  ( 202 , 391 ) = 5
103.muchia  ( 203 , 437 ) = 5
104.muchia  ( 222 , 504 ) = 5
105.muchia  ( 246 , 424 ) = 5
106.muchia  ( 268 , 557 ) = 5
107.muchia  ( 325 , 629 ) = 5
108.muchia  ( 337 , 489 ) = 5
109.muchia  ( 353 , 683 ) = 5
110.muchia  ( 381 , 466 ) = 5
111.muchia  ( 400 , 690 ) = 5
112.muchia  ( 407 , 563 ) = 5
113.muchia  ( 430 , 621 ) = 5
114.muchia  ( 452 , 687 ) = 5
115.muchia  ( 527 , 604 ) = 5
116.muchia  ( 571 , 577 ) = 5
117.muchia  ( 654 , 685 ) = 5
118.muchia  ( 6 , 258 ) = 6
119.muchia  ( 6 , 274 ) = 6
120.muchia  ( 17 , 308 ) = 6
121.muchia  ( 19 , 201 ) = 6
122.muchia  ( 30 , 661 ) = 6
123.muchia  ( 36 , 677 ) = 6
124.muchia  ( 51 , 593 ) = 6
125.muchia  ( 66 , 380 ) = 6
126.muchia  ( 66 , 606 ) = 6
127.muchia  ( 78 , 471 ) = 6
128.muchia  ( 104 , 447 ) = 6
129.muchia  ( 132 , 279 ) = 6
130.muchia  ( 136 , 441 ) = 6
131.muchia  ( 149 , 302 ) = 6
132.muchia  ( 180 , 485 ) = 6
133.muchia  ( 226 , 662 ) = 6
134.muchia  ( 233 , 344 ) = 6
135.muchia  ( 274 , 668 ) = 6
136.muchia  ( 276 , 389 ) = 6
137.muchia  ( 350 , 539 ) = 6
138.muchia  ( 361 , 397 ) = 6
139.muchia  ( 362 , 699 ) = 6
140.muchia  ( 378 , 560 ) = 6
141.muchia  ( 391 , 443 ) = 6
142.muchia  ( 462 , 678 ) = 6
143.muchia  ( 465 , 673 ) = 6
144.muchia  ( 558 , 664 ) = 6
145.muchia  ( 586 , 687 ) = 6
146.muchia  ( 606 , 616 ) = 6
147.muchia  ( 11 , 642 ) = 7
148.muchia  ( 13 , 292 ) = 7
149.muchia  ( 17 , 663 ) = 7
150.muchia  ( 33 , 293 ) = 7
151.muchia  ( 59 , 541 ) = 7
152.muchia  ( 62 , 570 ) = 7
153.muchia  ( 65 , 232 ) = 7
154.muchia  ( 121 , 426 ) = 7
155.muchia  ( 130 , 315 ) = 7
156.muchia  ( 144 , 439 ) = 7
157.muchia  ( 230 , 596 ) = 7
158.muchia  ( 237 , 379 ) = 7
159.muchia  ( 250 , 517 ) = 7
160.muchia  ( 308 , 340 ) = 7
161.muchia  ( 310 , 413 ) = 7
162.muchia  ( 339 , 440 ) = 7
163.muchia  ( 14 , 127 ) = 8
164.muchia  ( 32 , 320 ) = 8
165.muchia  ( 35 , 352 ) = 8
166.muchia  ( 35 , 496 ) = 8
167.muchia  ( 55 , 372 ) = 8
168.muchia  ( 61 , 638 ) = 8
169.muchia  ( 123 , 521 ) = 8
170.muchia  ( 172 , 681 ) = 8
171.muchia  ( 177 , 575 ) = 8
172.muchia  ( 198 , 523 ) = 8
173.muchia  ( 214 , 607 ) = 8
174.muchia  ( 215 , 621 ) = 8
175.muchia  ( 216 , 663 ) = 8
176.muchia  ( 257 , 431 ) = 8
177.muchia  ( 268 , 461 ) = 8
178.muchia  ( 273 , 330 ) = 8
179.muchia  ( 324 , 524 ) = 8
180.muchia  ( 329 , 379 ) = 8
181.muchia  ( 397 , 405 ) = 8
182.muchia  ( 406 , 531 ) = 8
183.muchia  ( 461 , 509 ) = 8
184.muchia  ( 500 , 621 ) = 8
185.muchia  ( 520 , 527 ) = 8
186.muchia  ( 523 , 675 ) = 8
187.muchia  ( 532 , 584 ) = 8
188.muchia  ( 0 , 454 ) = 9
189.muchia  ( 1 , 26 ) = 9
190.muchia  ( 7 , 41 ) = 9
191.muchia  ( 9 , 294 ) = 9
192.muchia  ( 34 , 250 ) = 9
193.muchia  ( 39 , 321 ) = 9
194.muchia  ( 46 , 275 ) = 9
195.muchia  ( 56 , 459 ) = 9
196.muchia  ( 78 , 266 ) = 9
197.muchia  ( 81 , 202 ) = 9
198.muchia  ( 82 , 392 ) = 9
199.muchia  ( 85 , 327 ) = 9
200.muchia  ( 104 , 238 ) = 9
201.muchia  ( 108 , 524 ) = 9
202.muchia  ( 113 , 380 ) = 9
203.muchia  ( 136 , 443 ) = 9
204.muchia  ( 142 , 297 ) = 9
205.muchia  ( 191 , 369 ) = 9
206.muchia  ( 196 , 668 ) = 9
207.muchia  ( 206 , 304 ) = 9
208.muchia  ( 232 , 420 ) = 9
209.muchia  ( 259 , 294 ) = 9
210.muchia  ( 270 , 547 ) = 9
211.muchia  ( 307 , 391 ) = 9
212.muchia  ( 334 , 679 ) = 9
213.muchia  ( 339 , 620 ) = 9
214.muchia  ( 348 , 374 ) = 9
215.muchia  ( 365 , 572 ) = 9
216.muchia  ( 369 , 447 ) = 9
217.muchia  ( 370 , 477 ) = 9
218.muchia  ( 382 , 462 ) = 9
219.muchia  ( 419 , 457 ) = 9
220.muchia  ( 471 , 597 ) = 9
221.muchia  ( 543 , 558 ) = 9
222.muchia  ( 575 , 614 ) = 9
223.muchia  ( 618 , 634 ) = 9
224.muchia  ( 1 , 225 ) = 10
225.muchia  ( 22 , 571 ) = 10
226.muchia  ( 77 , 444 ) = 10
227.muchia  ( 81 , 674 ) = 10
228.muchia  ( 84 , 629 ) = 10
229.muchia  ( 88 , 335 ) = 10
230.muchia  ( 90 , 432 ) = 10
231.muchia  ( 96 , 563 ) = 10
232.muchia  ( 114 , 581 ) = 10
233.muchia  ( 127 , 252 ) = 10
234.muchia  ( 184 , 442 ) = 10
235.muchia  ( 186 , 595 ) = 10
236.muchia  ( 200 , 261 ) = 10
237.muchia  ( 202 , 407 ) = 10
238.muchia  ( 230 , 582 ) = 10
239.muchia  ( 258 , 362 ) = 10
240.muchia  ( 258 , 411 ) = 10
241.muchia  ( 295 , 612 ) = 10
242.muchia  ( 298 , 469 ) = 10
243.muchia  ( 314 , 360 ) = 10
244.muchia  ( 356 , 405 ) = 10
