Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 36 , 43 ) = 4
2.muchia  ( 23 , 48 ) = 6
3.muchia  ( 49 , 57 ) = 7
4.muchia  ( 7 , 21 ) = 8
5.muchia  ( 16 , 69 ) = 8
6.muchia  ( 9 , 93 ) = 9
7.muchia  ( 32 , 74 ) = 9
8.muchia  ( 44 , 80 ) = 11
9.muchia  ( 40 , 60 ) = 23
10.muchia  ( 66 , 68 ) = 29
11.muchia  ( 53 , 93 ) = 34
12.muchia  ( 66 , 97 ) = 34
13.muchia  ( 78 , 88 ) = 44
14.muchia  ( 12 , 18 ) = 49
15.muchia  ( 11 , 68 ) = 53
16.muchia  ( 14 , 30 ) = 53
17.muchia  ( 36 , 62 ) = 54
18.muchia  ( 20 , 68 ) = 55
19.muchia  ( 30 , 90 ) = 55
20.muchia  ( 7 , 17 ) = 56
21.muchia  ( 76 , 85 ) = 58
22.muchia  ( 32 , 64 ) = 62
23.muchia  ( 42 , 51 ) = 64
24.muchia  ( 64 , 80 ) = 64
25.muchia  ( 18 , 70 ) = 69
26.muchia  ( 51 , 73 ) = 71
27.muchia  ( 53 , 63 ) = 72
28.muchia  ( 14 , 98 ) = 73
29.muchia  ( 19 , 43 ) = 73
30.muchia  ( 44 , 67 ) = 76
31.muchia  ( 42 , 96 ) = 80
32.muchia  ( 18 , 69 ) = 81
33.muchia  ( 50 , 81 ) = 82
34.muchia  ( 53 , 96 ) = 83
35.muchia  ( 10 , 82 ) = 84
36.muchia  ( 71 , 91 ) = 84
37.muchia  ( 12 , 19 ) = 87
38.muchia  ( 68 , 72 ) = 87
39.muchia  ( 39 , 73 ) = 89
40.muchia  ( 5 , 69 ) = 91
41.muchia  ( 11 , 56 ) = 91
42.muchia  ( 18 , 61 ) = 91
43.muchia  ( 34 , 39 ) = 92
44.muchia  ( 62 , 67 ) = 92
45.muchia  ( 8 , 34 ) = 94
46.muchia  ( 24 , 83 ) = 94
47.muchia  ( 71 , 76 ) = 94
48.muchia  ( 0 , 10 ) = 97
49.muchia  ( 39 , 41 ) = 97
50.muchia  ( 4 , 88 ) = 102
51.muchia  ( 76 , 92 ) = 102
52.muchia  ( 8 , 27 ) = 108
53.muchia  ( 10 , 33 ) = 109
54.muchia  ( 40 , 95 ) = 110
55.muchia  ( 75 , 91 ) = 113
56.muchia  ( 10 , 99 ) = 114
57.muchia  ( 85 , 97 ) = 114
58.muchia  ( 10 , 19 ) = 115
59.muchia  ( 35 , 45 ) = 115
60.muchia  ( 19 , 47 ) = 121
61.muchia  ( 5 , 51 ) = 122
62.muchia  ( 6 , 59 ) = 123
63.muchia  ( 20 , 69 ) = 125
64.muchia  ( 41 , 98 ) = 125
65.muchia  ( 52 , 70 ) = 128
66.muchia  ( 14 , 35 ) = 141
67.muchia  ( 7 , 95 ) = 145
68.muchia  ( 30 , 46 ) = 152
69.muchia  ( 67 , 89 ) = 156
70.muchia  ( 37 , 52 ) = 158
71.muchia  ( 30 , 48 ) = 159
72.muchia  ( 65 , 88 ) = 161
73.muchia  ( 83 , 92 ) = 164
74.muchia  ( 61 , 94 ) = 165
75.muchia  ( 18 , 50 ) = 168
76.muchia  ( 31 , 93 ) = 170
77.muchia  ( 25 , 93 ) = 171
78.muchia  ( 77 , 81 ) = 174
79.muchia  ( 13 , 47 ) = 177
80.muchia  ( 22 , 73 ) = 183
81.muchia  ( 13 , 95 ) = 192
82.muchia  ( 29 , 67 ) = 194
83.muchia  ( 79 , 87 ) = 197
84.muchia  ( 4 , 70 ) = 201
85.muchia  ( 51 , 57 ) = 202
86.muchia  ( 19 , 54 ) = 204
87.muchia  ( 1 , 94 ) = 210
88.muchia  ( 55 , 62 ) = 211
89.muchia  ( 77 , 84 ) = 219
90.muchia  ( 1 , 3 ) = 260
91.muchia  ( 15 , 43 ) = 266
92.muchia  ( 26 , 71 ) = 266
93.muchia  ( 0 , 2 ) = 268
94.muchia  ( 79 , 81 ) = 316
95.muchia  ( 16 , 58 ) = 322
96.muchia  ( 38 , 53 ) = 323
97.muchia  ( 79 , 86 ) = 358
98.muchia  ( 6 , 93 ) = 406
99.muchia  ( 14 , 28 ) = 557
Prin urmare costul arborelui minim de acoperire gasit este: 12435
Timpul de executie: 0.9950568675994873
