Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 34 , 74 ) = 1
2.muchia  ( 76 , 77 ) = 1
3.muchia  ( 37 , 86 ) = 2
4.muchia  ( 75 , 106 ) = 2
5.muchia  ( 67 , 135 ) = 6
6.muchia  ( 69 , 92 ) = 6
7.muchia  ( 84 , 109 ) = 8
8.muchia  ( 2 , 109 ) = 9
9.muchia  ( 63 , 147 ) = 9
10.muchia  ( 30 , 120 ) = 11
11.muchia  ( 3 , 40 ) = 17
12.muchia  ( 92 , 98 ) = 17
13.muchia  ( 55 , 90 ) = 21
14.muchia  ( 123 , 137 ) = 21
15.muchia  ( 25 , 48 ) = 22
16.muchia  ( 17 , 149 ) = 23
17.muchia  ( 82 , 124 ) = 24
18.muchia  ( 56 , 89 ) = 26
19.muchia  ( 100 , 139 ) = 26
20.muchia  ( 39 , 136 ) = 28
21.muchia  ( 18 , 32 ) = 29
22.muchia  ( 24 , 115 ) = 29
23.muchia  ( 57 , 103 ) = 29
24.muchia  ( 28 , 97 ) = 31
25.muchia  ( 43 , 45 ) = 33
26.muchia  ( 25 , 108 ) = 37
27.muchia  ( 12 , 35 ) = 38
28.muchia  ( 41 , 101 ) = 38
29.muchia  ( 57 , 60 ) = 39
30.muchia  ( 59 , 71 ) = 39
31.muchia  ( 71 , 99 ) = 40
32.muchia  ( 46 , 73 ) = 42
33.muchia  ( 96 , 97 ) = 42
34.muchia  ( 129 , 145 ) = 42
35.muchia  ( 12 , 41 ) = 44
36.muchia  ( 27 , 136 ) = 45
37.muchia  ( 87 , 137 ) = 45
38.muchia  ( 38 , 123 ) = 46
39.muchia  ( 25 , 127 ) = 48
40.muchia  ( 11 , 80 ) = 49
41.muchia  ( 40 , 99 ) = 49
42.muchia  ( 84 , 99 ) = 49
43.muchia  ( 28 , 139 ) = 50
44.muchia  ( 41 , 108 ) = 50
45.muchia  ( 64 , 129 ) = 52
46.muchia  ( 25 , 98 ) = 54
47.muchia  ( 52 , 98 ) = 56
48.muchia  ( 13 , 42 ) = 57
49.muchia  ( 30 , 105 ) = 58
50.muchia  ( 68 , 133 ) = 58
51.muchia  ( 77 , 86 ) = 58
52.muchia  ( 77 , 100 ) = 58
53.muchia  ( 101 , 117 ) = 61
54.muchia  ( 36 , 65 ) = 62
55.muchia  ( 58 , 130 ) = 63
56.muchia  ( 34 , 45 ) = 64
57.muchia  ( 5 , 88 ) = 66
58.muchia  ( 14 , 27 ) = 66
59.muchia  ( 35 , 119 ) = 66
60.muchia  ( 84 , 128 ) = 67
61.muchia  ( 63 , 64 ) = 69
62.muchia  ( 40 , 74 ) = 71
63.muchia  ( 21 , 23 ) = 72
64.muchia  ( 31 , 81 ) = 73
65.muchia  ( 77 , 91 ) = 73
66.muchia  ( 89 , 123 ) = 73
67.muchia  ( 47 , 114 ) = 75
68.muchia  ( 4 , 88 ) = 76
69.muchia  ( 56 , 85 ) = 76
70.muchia  ( 73 , 98 ) = 76
71.muchia  ( 108 , 146 ) = 76
72.muchia  ( 9 , 147 ) = 81
73.muchia  ( 18 , 65 ) = 82
74.muchia  ( 58 , 74 ) = 82
75.muchia  ( 39 , 93 ) = 84
76.muchia  ( 89 , 103 ) = 84
77.muchia  ( 22 , 61 ) = 85
78.muchia  ( 29 , 62 ) = 86
79.muchia  ( 1 , 29 ) = 87
80.muchia  ( 34 , 140 ) = 90
81.muchia  ( 60 , 63 ) = 90
82.muchia  ( 85 , 116 ) = 90
83.muchia  ( 26 , 130 ) = 91
84.muchia  ( 43 , 46 ) = 92
85.muchia  ( 54 , 75 ) = 93
86.muchia  ( 58 , 60 ) = 96
87.muchia  ( 28 , 93 ) = 97
88.muchia  ( 73 , 115 ) = 97
89.muchia  ( 83 , 128 ) = 97
90.muchia  ( 58 , 139 ) = 98
91.muchia  ( 12 , 80 ) = 102
92.muchia  ( 44 , 101 ) = 102
93.muchia  ( 5 , 79 ) = 104
94.muchia  ( 27 , 105 ) = 104
95.muchia  ( 23 , 124 ) = 105
96.muchia  ( 17 , 115 ) = 107
97.muchia  ( 35 , 126 ) = 107
98.muchia  ( 40 , 138 ) = 107
99.muchia  ( 55 , 56 ) = 107
100.muchia  ( 67 , 85 ) = 107
101.muchia  ( 70 , 94 ) = 109
102.muchia  ( 5 , 83 ) = 111
103.muchia  ( 8 , 24 ) = 113
104.muchia  ( 91 , 94 ) = 113
105.muchia  ( 65 , 96 ) = 117
106.muchia  ( 18 , 106 ) = 119
107.muchia  ( 13 , 37 ) = 120
108.muchia  ( 40 , 134 ) = 120
109.muchia  ( 71 , 133 ) = 120
110.muchia  ( 29 , 100 ) = 121
111.muchia  ( 22 , 52 ) = 122
112.muchia  ( 53 , 86 ) = 122
113.muchia  ( 11 , 20 ) = 124
114.muchia  ( 78 , 127 ) = 125
115.muchia  ( 50 , 92 ) = 127
116.muchia  ( 110 , 116 ) = 127
117.muchia  ( 4 , 107 ) = 128
118.muchia  ( 33 , 133 ) = 128
119.muchia  ( 79 , 142 ) = 128
120.muchia  ( 121 , 148 ) = 130
121.muchia  ( 15 , 82 ) = 131
122.muchia  ( 22 , 124 ) = 132
123.muchia  ( 43 , 121 ) = 132
124.muchia  ( 75 , 104 ) = 132
125.muchia  ( 29 , 118 ) = 133
126.muchia  ( 31 , 119 ) = 134
127.muchia  ( 96 , 131 ) = 142
128.muchia  ( 122 , 126 ) = 142
129.muchia  ( 0 , 15 ) = 143
130.muchia  ( 38 , 114 ) = 153
131.muchia  ( 54 , 144 ) = 160
132.muchia  ( 6 , 87 ) = 169
133.muchia  ( 55 , 95 ) = 172
134.muchia  ( 8 , 66 ) = 175
135.muchia  ( 16 , 45 ) = 178
136.muchia  ( 76 , 113 ) = 180
137.muchia  ( 49 , 144 ) = 183
138.muchia  ( 19 , 86 ) = 193
139.muchia  ( 62 , 132 ) = 194
140.muchia  ( 92 , 111 ) = 196
141.muchia  ( 76 , 125 ) = 197
142.muchia  ( 85 , 143 ) = 214
143.muchia  ( 10 , 72 ) = 261
144.muchia  ( 37 , 102 ) = 277
