Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 0 , 226 ) = 1
2.muchia  ( 22 , 222 ) = 1
3.muchia  ( 72 , 312 ) = 1
4.muchia  ( 156 , 272 ) = 1
5.muchia  ( 161 , 313 ) = 1
6.muchia  ( 176 , 329 ) = 1
7.muchia  ( 181 , 446 ) = 1
8.muchia  ( 199 , 230 ) = 1
9.muchia  ( 216 , 386 ) = 1
10.muchia  ( 227 , 354 ) = 1
11.muchia  ( 244 , 409 ) = 1
12.muchia  ( 251 , 339 ) = 1
13.muchia  ( 278 , 529 ) = 1
14.muchia  ( 290 , 511 ) = 1
15.muchia  ( 309 , 518 ) = 1
16.muchia  ( 318 , 419 ) = 1
17.muchia  ( 340 , 436 ) = 1
18.muchia  ( 356 , 440 ) = 1
19.muchia  ( 385 , 544 ) = 1
20.muchia  ( 42 , 130 ) = 2
21.muchia  ( 58 , 164 ) = 2
22.muchia  ( 69 , 215 ) = 2
23.muchia  ( 74 , 127 ) = 2
24.muchia  ( 97 , 433 ) = 2
25.muchia  ( 102 , 531 ) = 2
26.muchia  ( 152 , 192 ) = 2
27.muchia  ( 246 , 264 ) = 2
28.muchia  ( 270 , 350 ) = 2
29.muchia  ( 276 , 483 ) = 2
30.muchia  ( 308 , 417 ) = 2
31.muchia  ( 308 , 553 ) = 2
32.muchia  ( 310 , 561 ) = 2
33.muchia  ( 339 , 370 ) = 2
34.muchia  ( 394 , 510 ) = 2
35.muchia  ( 544 , 557 ) = 2
36.muchia  ( 571 , 589 ) = 2
37.muchia  ( 31 , 291 ) = 3
38.muchia  ( 39 , 81 ) = 3
39.muchia  ( 68 , 370 ) = 3
40.muchia  ( 82 , 337 ) = 3
41.muchia  ( 130 , 314 ) = 3
42.muchia  ( 137 , 246 ) = 3
43.muchia  ( 153 , 443 ) = 3
44.muchia  ( 222 , 337 ) = 3
45.muchia  ( 229 , 528 ) = 3
46.muchia  ( 283 , 578 ) = 3
47.muchia  ( 357 , 437 ) = 3
48.muchia  ( 443 , 534 ) = 3
49.muchia  ( 509 , 510 ) = 3
50.muchia  ( 12 , 471 ) = 4
51.muchia  ( 18 , 497 ) = 4
52.muchia  ( 38 , 249 ) = 4
53.muchia  ( 87 , 344 ) = 4
54.muchia  ( 132 , 551 ) = 4
55.muchia  ( 142 , 546 ) = 4
56.muchia  ( 158 , 253 ) = 4
57.muchia  ( 185 , 277 ) = 4
58.muchia  ( 272 , 399 ) = 4
59.muchia  ( 295 , 535 ) = 4
60.muchia  ( 311 , 588 ) = 4
61.muchia  ( 336 , 520 ) = 4
62.muchia  ( 364 , 476 ) = 4
63.muchia  ( 374 , 582 ) = 4
64.muchia  ( 397 , 488 ) = 4
65.muchia  ( 448 , 583 ) = 4
66.muchia  ( 472 , 474 ) = 4
67.muchia  ( 44 , 182 ) = 5
68.muchia  ( 56 , 131 ) = 5
69.muchia  ( 83 , 493 ) = 5
70.muchia  ( 94 , 354 ) = 5
71.muchia  ( 100 , 279 ) = 5
72.muchia  ( 112 , 346 ) = 5
73.muchia  ( 122 , 513 ) = 5
74.muchia  ( 131 , 391 ) = 5
75.muchia  ( 145 , 556 ) = 5
76.muchia  ( 153 , 506 ) = 5
77.muchia  ( 159 , 334 ) = 5
78.muchia  ( 169 , 515 ) = 5
79.muchia  ( 217 , 392 ) = 5
80.muchia  ( 238 , 270 ) = 5
81.muchia  ( 239 , 454 ) = 5
82.muchia  ( 335 , 414 ) = 5
83.muchia  ( 343 , 351 ) = 5
84.muchia  ( 350 , 481 ) = 5
85.muchia  ( 369 , 400 ) = 5
86.muchia  ( 395 , 597 ) = 5
87.muchia  ( 429 , 461 ) = 5
88.muchia  ( 444 , 446 ) = 5
89.muchia  ( 457 , 588 ) = 5
90.muchia  ( 469 , 598 ) = 5
91.muchia  ( 5 , 214 ) = 6
92.muchia  ( 12 , 339 ) = 6
93.muchia  ( 29 , 224 ) = 6
94.muchia  ( 44 , 340 ) = 6
95.muchia  ( 53 , 547 ) = 6
96.muchia  ( 61 , 418 ) = 6
97.muchia  ( 80 , 127 ) = 6
98.muchia  ( 118 , 491 ) = 6
99.muchia  ( 128 , 158 ) = 6
100.muchia  ( 128 , 200 ) = 6
101.muchia  ( 171 , 230 ) = 6
102.muchia  ( 171 , 577 ) = 6
103.muchia  ( 199 , 520 ) = 6
104.muchia  ( 222 , 270 ) = 6
105.muchia  ( 297 , 420 ) = 6
106.muchia  ( 352 , 393 ) = 6
107.muchia  ( 385 , 470 ) = 6
108.muchia  ( 389 , 596 ) = 6
109.muchia  ( 423 , 502 ) = 6
110.muchia  ( 451 , 485 ) = 6
111.muchia  ( 3 , 417 ) = 7
112.muchia  ( 12 , 133 ) = 7
113.muchia  ( 18 , 281 ) = 7
114.muchia  ( 29 , 79 ) = 7
115.muchia  ( 85 , 360 ) = 7
116.muchia  ( 86 , 380 ) = 7
117.muchia  ( 131 , 549 ) = 7
118.muchia  ( 172 , 362 ) = 7
119.muchia  ( 178 , 367 ) = 7
120.muchia  ( 199 , 490 ) = 7
121.muchia  ( 221 , 294 ) = 7
122.muchia  ( 223 , 256 ) = 7
123.muchia  ( 237 , 372 ) = 7
124.muchia  ( 286 , 523 ) = 7
125.muchia  ( 290 , 358 ) = 7
126.muchia  ( 306 , 464 ) = 7
127.muchia  ( 310 , 459 ) = 7
128.muchia  ( 370 , 571 ) = 7
129.muchia  ( 415 , 526 ) = 7
130.muchia  ( 445 , 578 ) = 7
131.muchia  ( 446 , 543 ) = 7
132.muchia  ( 6 , 272 ) = 8
133.muchia  ( 40 , 591 ) = 8
134.muchia  ( 46 , 273 ) = 8
135.muchia  ( 87 , 230 ) = 8
136.muchia  ( 92 , 392 ) = 8
137.muchia  ( 152 , 465 ) = 8
138.muchia  ( 167 , 408 ) = 8
139.muchia  ( 190 , 494 ) = 8
140.muchia  ( 208 , 404 ) = 8
141.muchia  ( 254 , 291 ) = 8
142.muchia  ( 257 , 353 ) = 8
143.muchia  ( 351 , 559 ) = 8
144.muchia  ( 494 , 517 ) = 8
145.muchia  ( 48 , 492 ) = 9
146.muchia  ( 98 , 556 ) = 9
147.muchia  ( 116 , 392 ) = 9
148.muchia  ( 191 , 597 ) = 9
149.muchia  ( 195 , 196 ) = 9
150.muchia  ( 210 , 440 ) = 9
151.muchia  ( 212 , 556 ) = 9
152.muchia  ( 236 , 274 ) = 9
153.muchia  ( 251 , 500 ) = 9
154.muchia  ( 330 , 375 ) = 9
155.muchia  ( 381 , 484 ) = 9
156.muchia  ( 474 , 587 ) = 9
157.muchia  ( 521 , 580 ) = 9
158.muchia  ( 525 , 598 ) = 9
159.muchia  ( 579 , 583 ) = 9
160.muchia  ( 8 , 373 ) = 10
161.muchia  ( 30 , 364 ) = 10
162.muchia  ( 33 , 449 ) = 10
163.muchia  ( 38 , 508 ) = 10
164.muchia  ( 44 , 540 ) = 10
165.muchia  ( 46 , 346 ) = 10
166.muchia  ( 46 , 555 ) = 10
167.muchia  ( 65 , 486 ) = 10
168.muchia  ( 66 , 223 ) = 10
169.muchia  ( 67 , 181 ) = 10
170.muchia  ( 80 , 220 ) = 10
171.muchia  ( 93 , 378 ) = 10
172.muchia  ( 107 , 510 ) = 10
173.muchia  ( 125 , 458 ) = 10
174.muchia  ( 141 , 238 ) = 10
175.muchia  ( 159 , 471 ) = 10
176.muchia  ( 169 , 185 ) = 10
177.muchia  ( 169 , 243 ) = 10
178.muchia  ( 192 , 346 ) = 10
179.muchia  ( 285 , 523 ) = 10
180.muchia  ( 426 , 591 ) = 10
181.muchia  ( 521 , 588 ) = 10
182.muchia  ( 522 , 595 ) = 10
183.muchia  ( 6 , 405 ) = 11
184.muchia  ( 37 , 300 ) = 11
185.muchia  ( 45 , 481 ) = 11
186.muchia  ( 47 , 312 ) = 11
187.muchia  ( 55 , 560 ) = 11
188.muchia  ( 58 , 247 ) = 11
189.muchia  ( 111 , 211 ) = 11
190.muchia  ( 115 , 545 ) = 11
191.muchia  ( 116 , 422 ) = 11
192.muchia  ( 174 , 540 ) = 11
193.muchia  ( 203 , 437 ) = 11
194.muchia  ( 241 , 437 ) = 11
195.muchia  ( 280 , 317 ) = 11
196.muchia  ( 285 , 478 ) = 11
197.muchia  ( 435 , 569 ) = 11
198.muchia  ( 530 , 565 ) = 11
199.muchia  ( 7 , 573 ) = 12
200.muchia  ( 37 , 418 ) = 12
201.muchia  ( 43 , 367 ) = 12
202.muchia  ( 62 , 431 ) = 12
203.muchia  ( 130 , 329 ) = 12
204.muchia  ( 146 , 395 ) = 12
205.muchia  ( 147 , 379 ) = 12
206.muchia  ( 150 , 227 ) = 12
207.muchia  ( 152 , 275 ) = 12
208.muchia  ( 174 , 221 ) = 12
209.muchia  ( 177 , 356 ) = 12
210.muchia  ( 194 , 348 ) = 12
211.muchia  ( 218 , 262 ) = 12
212.muchia  ( 252 , 517 ) = 12
213.muchia  ( 465 , 489 ) = 12
214.muchia  ( 10 , 276 ) = 13
215.muchia  ( 19 , 593 ) = 13
216.muchia  ( 41 , 427 ) = 13
217.muchia  ( 62 , 198 ) = 13
218.muchia  ( 83 , 157 ) = 13
