Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 64 , 130 ) = 2
2.muchia  ( 134 , 159 ) = 2
3.muchia  ( 18 , 67 ) = 3
4.muchia  ( 171 , 183 ) = 3
5.muchia  ( 26 , 34 ) = 4
6.muchia  ( 29 , 116 ) = 5
7.muchia  ( 174 , 189 ) = 5
8.muchia  ( 23 , 168 ) = 6
9.muchia  ( 123 , 189 ) = 7
10.muchia  ( 1 , 20 ) = 8
11.muchia  ( 1 , 59 ) = 8
12.muchia  ( 84 , 197 ) = 8
13.muchia  ( 116 , 169 ) = 8
14.muchia  ( 12 , 137 ) = 9
15.muchia  ( 149 , 151 ) = 9
16.muchia  ( 7 , 129 ) = 10
17.muchia  ( 12 , 134 ) = 10
18.muchia  ( 36 , 170 ) = 10
19.muchia  ( 25 , 130 ) = 11
20.muchia  ( 111 , 157 ) = 11
21.muchia  ( 158 , 183 ) = 11
22.muchia  ( 2 , 122 ) = 12
23.muchia  ( 43 , 49 ) = 12
24.muchia  ( 6 , 65 ) = 13
25.muchia  ( 31 , 191 ) = 14
26.muchia  ( 4 , 5 ) = 18
27.muchia  ( 52 , 84 ) = 19
28.muchia  ( 61 , 89 ) = 19
29.muchia  ( 2 , 108 ) = 20
30.muchia  ( 15 , 46 ) = 20
31.muchia  ( 102 , 110 ) = 20
32.muchia  ( 128 , 156 ) = 20
33.muchia  ( 76 , 191 ) = 21
34.muchia  ( 151 , 187 ) = 21
35.muchia  ( 113 , 176 ) = 22
36.muchia  ( 8 , 47 ) = 23
37.muchia  ( 20 , 100 ) = 23
38.muchia  ( 12 , 102 ) = 24
39.muchia  ( 32 , 136 ) = 24
40.muchia  ( 39 , 64 ) = 24
41.muchia  ( 161 , 193 ) = 24
42.muchia  ( 11 , 18 ) = 25
43.muchia  ( 71 , 139 ) = 25
44.muchia  ( 119 , 136 ) = 26
45.muchia  ( 90 , 120 ) = 27
46.muchia  ( 26 , 143 ) = 28
47.muchia  ( 71 , 183 ) = 28
48.muchia  ( 123 , 184 ) = 28
49.muchia  ( 97 , 189 ) = 29
50.muchia  ( 67 , 198 ) = 31
51.muchia  ( 12 , 180 ) = 32
52.muchia  ( 69 , 185 ) = 32
53.muchia  ( 94 , 153 ) = 32
54.muchia  ( 156 , 169 ) = 33
55.muchia  ( 102 , 155 ) = 34
56.muchia  ( 0 , 75 ) = 35
57.muchia  ( 108 , 126 ) = 35
58.muchia  ( 17 , 99 ) = 37
59.muchia  ( 98 , 191 ) = 38
60.muchia  ( 23 , 72 ) = 39
61.muchia  ( 34 , 111 ) = 39
62.muchia  ( 117 , 174 ) = 39
63.muchia  ( 138 , 155 ) = 39
64.muchia  ( 19 , 21 ) = 40
65.muchia  ( 37 , 71 ) = 40
66.muchia  ( 71 , 76 ) = 40
67.muchia  ( 105 , 193 ) = 40
68.muchia  ( 4 , 186 ) = 41
69.muchia  ( 94 , 111 ) = 41
70.muchia  ( 104 , 114 ) = 42
71.muchia  ( 127 , 180 ) = 42
72.muchia  ( 1 , 19 ) = 43
73.muchia  ( 53 , 186 ) = 43
74.muchia  ( 64 , 176 ) = 44
75.muchia  ( 84 , 167 ) = 44
76.muchia  ( 88 , 115 ) = 44
77.muchia  ( 92 , 199 ) = 44
78.muchia  ( 134 , 170 ) = 44
79.muchia  ( 167 , 171 ) = 44
80.muchia  ( 34 , 95 ) = 45
