Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 10 , 48 ) = 3
2.muchia  ( 15 , 49 ) = 17
3.muchia  ( 1 , 5 ) = 28
4.muchia  ( 26 , 28 ) = 37
5.muchia  ( 3 , 4 ) = 38
6.muchia  ( 35 , 37 ) = 38
7.muchia  ( 27 , 30 ) = 39
8.muchia  ( 2 , 40 ) = 46
9.muchia  ( 21 , 48 ) = 50
10.muchia  ( 22 , 36 ) = 69
11.muchia  ( 11 , 40 ) = 76
12.muchia  ( 41 , 44 ) = 78
13.muchia  ( 8 , 14 ) = 88
14.muchia  ( 10 , 35 ) = 97
15.muchia  ( 13 , 38 ) = 100
16.muchia  ( 15 , 21 ) = 100
17.muchia  ( 11 , 17 ) = 112
18.muchia  ( 5 , 47 ) = 120
19.muchia  ( 36 , 37 ) = 122
20.muchia  ( 7 , 34 ) = 131
21.muchia  ( 6 , 43 ) = 132
22.muchia  ( 19 , 30 ) = 135
23.muchia  ( 4 , 32 ) = 175
24.muchia  ( 22 , 29 ) = 177
25.muchia  ( 14 , 17 ) = 183
26.muchia  ( 10 , 26 ) = 186
27.muchia  ( 16 , 35 ) = 200
28.muchia  ( 18 , 44 ) = 203
29.muchia  ( 12 , 23 ) = 206
30.muchia  ( 15 , 46 ) = 222
31.muchia  ( 2 , 21 ) = 226
32.muchia  ( 9 , 24 ) = 228
33.muchia  ( 1 , 38 ) = 236
34.muchia  ( 20 , 30 ) = 245
35.muchia  ( 6 , 12 ) = 246
36.muchia  ( 34 , 38 ) = 249
37.muchia  ( 3 , 36 ) = 254
38.muchia  ( 16 , 39 ) = 262
39.muchia  ( 6 , 48 ) = 263
40.muchia  ( 37 , 41 ) = 275
41.muchia  ( 20 , 45 ) = 295
42.muchia  ( 27 , 37 ) = 305
43.muchia  ( 1 , 9 ) = 358
44.muchia  ( 7 , 28 ) = 361
45.muchia  ( 3 , 33 ) = 385
46.muchia  ( 34 , 42 ) = 431
47.muchia  ( 21 , 25 ) = 519
48.muchia  ( 0 , 11 ) = 526
49.muchia  ( 31 , 46 ) = 1051
Prin urmare costul arborelui minim de acoperire gasit este: 9923
Timpul de executie: 0.14700865745544434
