Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 10 , 155 ) = 1
2.muchia  ( 49 , 356 ) = 1
3.muchia  ( 84 , 382 ) = 1
4.muchia  ( 85 , 122 ) = 1
5.muchia  ( 85 , 292 ) = 1
6.muchia  ( 95 , 160 ) = 1
7.muchia  ( 95 , 311 ) = 1
8.muchia  ( 130 , 426 ) = 1
9.muchia  ( 168 , 470 ) = 1
10.muchia  ( 181 , 309 ) = 1
11.muchia  ( 189 , 226 ) = 1
12.muchia  ( 217 , 330 ) = 1
13.muchia  ( 315 , 394 ) = 1
14.muchia  ( 40 , 169 ) = 2
15.muchia  ( 62 , 99 ) = 2
16.muchia  ( 77 , 435 ) = 2
17.muchia  ( 150 , 211 ) = 2
18.muchia  ( 152 , 263 ) = 2
19.muchia  ( 168 , 379 ) = 2
20.muchia  ( 187 , 497 ) = 2
21.muchia  ( 199 , 388 ) = 2
22.muchia  ( 227 , 316 ) = 2
23.muchia  ( 249 , 471 ) = 2
24.muchia  ( 357 , 463 ) = 2
25.muchia  ( 378 , 449 ) = 2
26.muchia  ( 391 , 406 ) = 2
27.muchia  ( 47 , 266 ) = 3
28.muchia  ( 149 , 407 ) = 3
29.muchia  ( 155 , 493 ) = 3
30.muchia  ( 156 , 245 ) = 3
31.muchia  ( 279 , 440 ) = 3
32.muchia  ( 415 , 421 ) = 3
33.muchia  ( 417 , 489 ) = 3
34.muchia  ( 8 , 351 ) = 4
35.muchia  ( 21 , 469 ) = 4
36.muchia  ( 39 , 178 ) = 4
37.muchia  ( 167 , 269 ) = 4
38.muchia  ( 177 , 447 ) = 4
39.muchia  ( 227 , 338 ) = 4
40.muchia  ( 235 , 343 ) = 4
41.muchia  ( 247 , 324 ) = 4
42.muchia  ( 286 , 419 ) = 4
43.muchia  ( 379 , 428 ) = 4
44.muchia  ( 417 , 469 ) = 4
45.muchia  ( 36 , 489 ) = 5
46.muchia  ( 88 , 469 ) = 5
47.muchia  ( 219 , 486 ) = 5
48.muchia  ( 225 , 263 ) = 5
49.muchia  ( 286 , 434 ) = 5
50.muchia  ( 286 , 442 ) = 5
51.muchia  ( 4 , 425 ) = 6
52.muchia  ( 72 , 148 ) = 6
53.muchia  ( 97 , 211 ) = 6
54.muchia  ( 97 , 238 ) = 6
55.muchia  ( 101 , 272 ) = 6
56.muchia  ( 132 , 137 ) = 6
57.muchia  ( 144 , 153 ) = 6
58.muchia  ( 161 , 247 ) = 6
59.muchia  ( 218 , 423 ) = 6
60.muchia  ( 406 , 466 ) = 6
61.muchia  ( 33 , 467 ) = 7
62.muchia  ( 52 , 345 ) = 7
63.muchia  ( 61 , 237 ) = 7
64.muchia  ( 62 , 332 ) = 7
65.muchia  ( 70 , 487 ) = 7
66.muchia  ( 72 , 191 ) = 7
67.muchia  ( 86 , 298 ) = 7
68.muchia  ( 112 , 295 ) = 7
69.muchia  ( 155 , 218 ) = 7
70.muchia  ( 156 , 394 ) = 7
71.muchia  ( 190 , 212 ) = 7
72.muchia  ( 257 , 283 ) = 7
73.muchia  ( 287 , 376 ) = 7
74.muchia  ( 330 , 455 ) = 7
75.muchia  ( 345 , 409 ) = 7
76.muchia  ( 362 , 443 ) = 7
77.muchia  ( 365 , 458 ) = 7
78.muchia  ( 62 , 374 ) = 8
79.muchia  ( 101 , 352 ) = 8
80.muchia  ( 135 , 205 ) = 8
81.muchia  ( 138 , 482 ) = 8
82.muchia  ( 373 , 469 ) = 8
83.muchia  ( 431 , 455 ) = 8
84.muchia  ( 24 , 434 ) = 9
85.muchia  ( 34 , 117 ) = 9
86.muchia  ( 78 , 383 ) = 9
87.muchia  ( 86 , 202 ) = 9
88.muchia  ( 91 , 431 ) = 9
89.muchia  ( 105 , 494 ) = 9
90.muchia  ( 148 , 371 ) = 9
91.muchia  ( 180 , 297 ) = 9
92.muchia  ( 213 , 298 ) = 9
93.muchia  ( 223 , 308 ) = 9
94.muchia  ( 247 , 311 ) = 9
95.muchia  ( 271 , 394 ) = 9
96.muchia  ( 286 , 457 ) = 9
97.muchia  ( 393 , 420 ) = 9
98.muchia  ( 36 , 216 ) = 10
99.muchia  ( 52 , 181 ) = 10
100.muchia  ( 61 , 410 ) = 10
101.muchia  ( 78 , 142 ) = 10
102.muchia  ( 88 , 431 ) = 10
103.muchia  ( 101 , 111 ) = 10
104.muchia  ( 132 , 408 ) = 10
105.muchia  ( 188 , 449 ) = 10
106.muchia  ( 277 , 416 ) = 10
107.muchia  ( 310 , 452 ) = 10
108.muchia  ( 328 , 385 ) = 10
109.muchia  ( 360 , 432 ) = 10
110.muchia  ( 62 , 260 ) = 11
111.muchia  ( 70 , 411 ) = 11
112.muchia  ( 79 , 395 ) = 11
113.muchia  ( 129 , 356 ) = 11
114.muchia  ( 141 , 359 ) = 11
115.muchia  ( 147 , 213 ) = 11
116.muchia  ( 169 , 454 ) = 11
117.muchia  ( 174 , 250 ) = 11
118.muchia  ( 217 , 359 ) = 11
119.muchia  ( 421 , 440 ) = 11
120.muchia  ( 5 , 232 ) = 12
121.muchia  ( 52 , 480 ) = 12
122.muchia  ( 73 , 158 ) = 12
123.muchia  ( 112 , 163 ) = 12
124.muchia  ( 163 , 330 ) = 12
125.muchia  ( 180 , 255 ) = 12
126.muchia  ( 199 , 331 ) = 12
127.muchia  ( 217 , 327 ) = 12
128.muchia  ( 233 , 294 ) = 12
129.muchia  ( 273 , 466 ) = 12
130.muchia  ( 286 , 484 ) = 12
131.muchia  ( 326 , 349 ) = 12
132.muchia  ( 14 , 298 ) = 13
133.muchia  ( 84 , 141 ) = 13
134.muchia  ( 179 , 421 ) = 13
135.muchia  ( 185 , 346 ) = 13
136.muchia  ( 233 , 356 ) = 13
137.muchia  ( 247 , 460 ) = 13
138.muchia  ( 284 , 304 ) = 13
139.muchia  ( 313 , 451 ) = 13
140.muchia  ( 446 , 476 ) = 13
141.muchia  ( 9 , 472 ) = 14
142.muchia  ( 11 , 259 ) = 14
143.muchia  ( 24 , 182 ) = 14
144.muchia  ( 41 , 126 ) = 14
145.muchia  ( 56 , 75 ) = 14
146.muchia  ( 88 , 304 ) = 14
147.muchia  ( 104 , 136 ) = 14
148.muchia  ( 109 , 241 ) = 14
149.muchia  ( 128 , 244 ) = 14
150.muchia  ( 154 , 328 ) = 14
151.muchia  ( 166 , 326 ) = 14
152.muchia  ( 172 , 361 ) = 14
153.muchia  ( 202 , 266 ) = 14
154.muchia  ( 259 , 489 ) = 14
155.muchia  ( 14 , 113 ) = 15
156.muchia  ( 21 , 108 ) = 15
157.muchia  ( 25 , 327 ) = 15
158.muchia  ( 87 , 430 ) = 15
159.muchia  ( 169 , 388 ) = 15
160.muchia  ( 186 , 335 ) = 15
161.muchia  ( 219 , 498 ) = 15
162.muchia  ( 257 , 270 ) = 15
163.muchia  ( 282 , 446 ) = 15
164.muchia  ( 284 , 344 ) = 15
165.muchia  ( 316 , 480 ) = 15
166.muchia  ( 356 , 450 ) = 15
167.muchia  ( 415 , 491 ) = 15
168.muchia  ( 33 , 458 ) = 16
169.muchia  ( 56 , 462 ) = 16
170.muchia  ( 66 , 139 ) = 16
171.muchia  ( 93 , 336 ) = 16
172.muchia  ( 96 , 185 ) = 16
173.muchia  ( 101 , 418 ) = 16
174.muchia  ( 111 , 155 ) = 16
175.muchia  ( 117 , 132 ) = 16
176.muchia  ( 145 , 462 ) = 16
177.muchia  ( 174 , 340 ) = 16
