Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 95 , 277 ) = 1
2.muchia  ( 126 , 147 ) = 1
3.muchia  ( 135 , 253 ) = 1
4.muchia  ( 207 , 279 ) = 1
5.muchia  ( 87 , 223 ) = 2
6.muchia  ( 82 , 226 ) = 3
7.muchia  ( 99 , 218 ) = 3
8.muchia  ( 185 , 293 ) = 3
9.muchia  ( 195 , 257 ) = 3
10.muchia  ( 228 , 234 ) = 3
11.muchia  ( 53 , 229 ) = 4
12.muchia  ( 81 , 291 ) = 4
13.muchia  ( 103 , 211 ) = 4
14.muchia  ( 143 , 164 ) = 4
15.muchia  ( 197 , 264 ) = 4
16.muchia  ( 245 , 287 ) = 4
17.muchia  ( 28 , 143 ) = 5
18.muchia  ( 173 , 229 ) = 6
19.muchia  ( 243 , 279 ) = 6
20.muchia  ( 32 , 281 ) = 7
21.muchia  ( 40 , 252 ) = 7
22.muchia  ( 56 , 67 ) = 7
23.muchia  ( 78 , 218 ) = 7
24.muchia  ( 94 , 96 ) = 7
25.muchia  ( 135 , 224 ) = 7
26.muchia  ( 188 , 250 ) = 7
27.muchia  ( 80 , 137 ) = 8
28.muchia  ( 139 , 141 ) = 8
29.muchia  ( 76 , 289 ) = 9
30.muchia  ( 90 , 140 ) = 9
31.muchia  ( 218 , 231 ) = 9
32.muchia  ( 220 , 244 ) = 9
33.muchia  ( 225 , 243 ) = 9
34.muchia  ( 17 , 54 ) = 10
35.muchia  ( 43 , 71 ) = 10
36.muchia  ( 64 , 247 ) = 10
37.muchia  ( 65 , 84 ) = 10
38.muchia  ( 134 , 202 ) = 10
39.muchia  ( 134 , 217 ) = 10
40.muchia  ( 1 , 31 ) = 11
41.muchia  ( 26 , 91 ) = 11
42.muchia  ( 71 , 154 ) = 11
43.muchia  ( 89 , 209 ) = 11
44.muchia  ( 212 , 228 ) = 11
45.muchia  ( 12 , 165 ) = 12
46.muchia  ( 23 , 293 ) = 12
47.muchia  ( 98 , 210 ) = 12
48.muchia  ( 104 , 248 ) = 12
49.muchia  ( 181 , 214 ) = 12
50.muchia  ( 16 , 94 ) = 13
51.muchia  ( 45 , 121 ) = 13
52.muchia  ( 1 , 84 ) = 14
53.muchia  ( 1 , 184 ) = 14
54.muchia  ( 16 , 69 ) = 14
55.muchia  ( 18 , 259 ) = 14
56.muchia  ( 70 , 276 ) = 14
57.muchia  ( 71 , 93 ) = 14
58.muchia  ( 200 , 215 ) = 14
59.muchia  ( 236 , 287 ) = 14
60.muchia  ( 272 , 286 ) = 14
61.muchia  ( 48 , 213 ) = 15
62.muchia  ( 62 , 173 ) = 15
63.muchia  ( 82 , 163 ) = 15
64.muchia  ( 89 , 203 ) = 15
65.muchia  ( 7 , 109 ) = 16
66.muchia  ( 11 , 194 ) = 16
67.muchia  ( 118 , 162 ) = 16
68.muchia  ( 166 , 278 ) = 16
69.muchia  ( 54 , 137 ) = 17
70.muchia  ( 124 , 156 ) = 17
71.muchia  ( 136 , 191 ) = 17
72.muchia  ( 198 , 231 ) = 17
73.muchia  ( 246 , 253 ) = 17
74.muchia  ( 95 , 181 ) = 18
75.muchia  ( 134 , 228 ) = 18
76.muchia  ( 37 , 273 ) = 19
77.muchia  ( 55 , 99 ) = 20
78.muchia  ( 57 , 127 ) = 20
79.muchia  ( 68 , 171 ) = 20
80.muchia  ( 162 , 181 ) = 20
81.muchia  ( 57 , 143 ) = 21
82.muchia  ( 164 , 181 ) = 21
83.muchia  ( 218 , 221 ) = 21
84.muchia  ( 5 , 243 ) = 22
85.muchia  ( 18 , 231 ) = 22
86.muchia  ( 106 , 250 ) = 22
87.muchia  ( 176 , 217 ) = 22
88.muchia  ( 181 , 240 ) = 22
89.muchia  ( 217 , 241 ) = 22
90.muchia  ( 97 , 148 ) = 23
91.muchia  ( 47 , 87 ) = 24
92.muchia  ( 54 , 236 ) = 24
93.muchia  ( 55 , 150 ) = 24
94.muchia  ( 110 , 137 ) = 24
95.muchia  ( 211 , 285 ) = 24
96.muchia  ( 101 , 164 ) = 25
97.muchia  ( 266 , 297 ) = 25
98.muchia  ( 84 , 145 ) = 26
99.muchia  ( 122 , 239 ) = 26
100.muchia  ( 199 , 214 ) = 26
101.muchia  ( 228 , 247 ) = 26
102.muchia  ( 121 , 255 ) = 27
103.muchia  ( 218 , 287 ) = 27
104.muchia  ( 67 , 254 ) = 28
105.muchia  ( 107 , 291 ) = 28
106.muchia  ( 197 , 246 ) = 28
107.muchia  ( 108 , 115 ) = 29
108.muchia  ( 147 , 199 ) = 29
109.muchia  ( 3 , 178 ) = 30
110.muchia  ( 10 , 13 ) = 30
111.muchia  ( 33 , 94 ) = 30
112.muchia  ( 95 , 208 ) = 30
113.muchia  ( 131 , 147 ) = 30
114.muchia  ( 137 , 180 ) = 30
115.muchia  ( 137 , 196 ) = 30
116.muchia  ( 35 , 198 ) = 31
117.muchia  ( 22 , 185 ) = 32
118.muchia  ( 53 , 86 ) = 32
119.muchia  ( 70 , 269 ) = 32
120.muchia  ( 93 , 201 ) = 32
121.muchia  ( 4 , 143 ) = 33
122.muchia  ( 9 , 231 ) = 33
123.muchia  ( 26 , 234 ) = 33
124.muchia  ( 226 , 269 ) = 33
125.muchia  ( 14 , 190 ) = 34
126.muchia  ( 100 , 172 ) = 34
127.muchia  ( 116 , 292 ) = 34
128.muchia  ( 13 , 149 ) = 35
129.muchia  ( 46 , 267 ) = 35
130.muchia  ( 53 , 72 ) = 35
131.muchia  ( 66 , 83 ) = 35
132.muchia  ( 66 , 255 ) = 35
133.muchia  ( 159 , 265 ) = 35
134.muchia  ( 195 , 271 ) = 35
135.muchia  ( 210 , 215 ) = 35
136.muchia  ( 260 , 268 ) = 35
137.muchia  ( 64 , 201 ) = 36
138.muchia  ( 107 , 293 ) = 36
139.muchia  ( 108 , 232 ) = 36
140.muchia  ( 0 , 291 ) = 37
141.muchia  ( 2 , 177 ) = 37
142.muchia  ( 14 , 225 ) = 37
143.muchia  ( 66 , 288 ) = 37
144.muchia  ( 108 , 121 ) = 37
145.muchia  ( 206 , 294 ) = 37
146.muchia  ( 15 , 226 ) = 38
147.muchia  ( 29 , 254 ) = 38
148.muchia  ( 99 , 275 ) = 38
149.muchia  ( 134 , 164 ) = 38
150.muchia  ( 7 , 277 ) = 39
151.muchia  ( 169 , 250 ) = 39
152.muchia  ( 251 , 266 ) = 39
153.muchia  ( 28 , 281 ) = 40
154.muchia  ( 68 , 120 ) = 40
155.muchia  ( 105 , 124 ) = 40
156.muchia  ( 63 , 108 ) = 41
157.muchia  ( 104 , 255 ) = 41
158.muchia  ( 177 , 265 ) = 41
159.muchia  ( 279 , 288 ) = 41
160.muchia  ( 0 , 53 ) = 42
161.muchia  ( 159 , 169 ) = 42
162.muchia  ( 168 , 222 ) = 42
163.muchia  ( 19 , 29 ) = 43
164.muchia  ( 43 , 180 ) = 43
165.muchia  ( 53 , 255 ) = 43
166.muchia  ( 81 , 149 ) = 43
167.muchia  ( 189 , 266 ) = 43
168.muchia  ( 196 , 249 ) = 44
169.muchia  ( 19 , 61 ) = 45
170.muchia  ( 146 , 235 ) = 45
171.muchia  ( 220 , 275 ) = 45
172.muchia  ( 13 , 222 ) = 46
173.muchia  ( 33 , 227 ) = 46
174.muchia  ( 72 , 159 ) = 46
175.muchia  ( 112 , 236 ) = 46
176.muchia  ( 166 , 270 ) = 46
177.muchia  ( 223 , 263 ) = 46
178.muchia  ( 268 , 270 ) = 46
179.muchia  ( 31 , 284 ) = 47
180.muchia  ( 59 , 96 ) = 47
181.muchia  ( 72 , 285 ) = 47
182.muchia  ( 77 , 234 ) = 48
183.muchia  ( 179 , 261 ) = 48
184.muchia  ( 197 , 206 ) = 48
185.muchia  ( 202 , 291 ) = 48
186.muchia  ( 238 , 244 ) = 48
187.muchia  ( 44 , 197 ) = 49
188.muchia  ( 55 , 88 ) = 49
189.muchia  ( 113 , 212 ) = 49
190.muchia  ( 10 , 51 ) = 50
191.muchia  ( 41 , 148 ) = 50
192.muchia  ( 48 , 102 ) = 50
193.muchia  ( 73 , 241 ) = 50
194.muchia  ( 74 , 280 ) = 50
195.muchia  ( 4 , 296 ) = 51
196.muchia  ( 27 , 110 ) = 51
197.muchia  ( 39 , 175 ) = 51
198.muchia  ( 53 , 174 ) = 51
199.muchia  ( 82 , 102 ) = 51
200.muchia  ( 88 , 194 ) = 51
201.muchia  ( 132 , 198 ) = 51
202.muchia  ( 163 , 246 ) = 51
203.muchia  ( 8 , 122 ) = 52
204.muchia  ( 31 , 137 ) = 52
205.muchia  ( 74 , 225 ) = 52
206.muchia  ( 86 , 226 ) = 52
207.muchia  ( 92 , 110 ) = 52
208.muchia  ( 107 , 270 ) = 52
209.muchia  ( 186 , 232 ) = 52
210.muchia  ( 56 , 235 ) = 53
211.muchia  ( 85 , 225 ) = 53
212.muchia  ( 133 , 263 ) = 53
213.muchia  ( 106 , 192 ) = 54
214.muchia  ( 140 , 232 ) = 54
215.muchia  ( 12 , 169 ) = 55
216.muchia  ( 67 , 208 ) = 56
217.muchia  ( 178 , 280 ) = 56
218.muchia  ( 82 , 128 ) = 57
219.muchia  ( 227 , 277 ) = 57
220.muchia  ( 263 , 270 ) = 57
221.muchia  ( 6 , 33 ) = 59
222.muchia  ( 23 , 292 ) = 59
223.muchia  ( 30 , 90 ) = 59
224.muchia  ( 34 , 275 ) = 59
225.muchia  ( 41 , 254 ) = 59
226.muchia  ( 230 , 295 ) = 59
227.muchia  ( 168 , 297 ) = 60
228.muchia  ( 78 , 261 ) = 61
229.muchia  ( 78 , 142 ) = 62
230.muchia  ( 49 , 290 ) = 63
231.muchia  ( 80 , 267 ) = 63
232.muchia  ( 105 , 121 ) = 63
233.muchia  ( 172 , 271 ) = 63
234.muchia  ( 21 , 90 ) = 64
235.muchia  ( 25 , 281 ) = 64
236.muchia  ( 117 , 229 ) = 64
237.muchia  ( 118 , 237 ) = 64
238.muchia  ( 50 , 222 ) = 65
239.muchia  ( 86 , 120 ) = 65
240.muchia  ( 12 , 130 ) = 66
241.muchia  ( 98 , 246 ) = 66
242.muchia  ( 124 , 151 ) = 66
243.muchia  ( 195 , 247 ) = 66
244.muchia  ( 174 , 204 ) = 67
245.muchia  ( 272 , 296 ) = 67
246.muchia  ( 145 , 262 ) = 68
247.muchia  ( 10 , 123 ) = 69
248.muchia  ( 39 , 56 ) = 69
249.muchia  ( 65 , 191 ) = 69
250.muchia  ( 119 , 174 ) = 70
251.muchia  ( 138 , 270 ) = 70
252.muchia  ( 158 , 287 ) = 70
253.muchia  ( 51 , 239 ) = 71
254.muchia  ( 204 , 252 ) = 71
255.muchia  ( 88 , 282 ) = 72
256.muchia  ( 60 , 67 ) = 74
257.muchia  ( 45 , 183 ) = 75
