Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 25 , 1 ) = 7
2.muchia ( 5 , 2 ) = 11
3.muchia ( 506 , 3 ) = 7
4.muchia ( 47 , 4 ) = 27
5.muchia ( 135 , 5 ) = 19
6.muchia ( 577 , 6 ) = 10
7.muchia ( 53 , 7 ) = 41
8.muchia ( 317 , 8 ) = 3
9.muchia ( 180 , 9 ) = 10
10.muchia ( 269 , 10 ) = 20
11.muchia ( 170 , 11 ) = 5
12.muchia ( 195 , 12 ) = 11
13.muchia ( 92 , 13 ) = 23
14.muchia ( 510 , 14 ) = 17
15.muchia ( 491 , 15 ) = 23
16.muchia ( 6 , 16 ) = 17
17.muchia ( 216 , 17 ) = 9
18.muchia ( 313 , 18 ) = 62
19.muchia ( 488 , 19 ) = 17
20.muchia ( 569 , 20 ) = 23
21.muchia ( 374 , 21 ) = 9
22.muchia ( 629 , 22 ) = 23
23.muchia ( 396 , 23 ) = 56
24.muchia ( 357 , 24 ) = 26
25.muchia ( 165 , 25 ) = 17
26.muchia ( 196 , 26 ) = 21
27.muchia ( 370 , 27 ) = 8
28.muchia ( 396 , 28 ) = 23
29.muchia ( 561 , 29 ) = 7
30.muchia ( 677 , 30 ) = 1
31.muchia ( 65 , 31 ) = 13
32.muchia ( 486 , 32 ) = 6
33.muchia ( 113 , 33 ) = 29
34.muchia ( 71 , 34 ) = 18
35.muchia ( 434 , 35 ) = 27
36.muchia ( 434 , 36 ) = 14
37.muchia ( 288 , 37 ) = 18
38.muchia ( 1 , 38 ) = 11
39.muchia ( 383 , 39 ) = 29
40.muchia ( 673 , 40 ) = 10
41.muchia ( 584 , 41 ) = 18
42.muchia ( 303 , 42 ) = 1
43.muchia ( 321 , 43 ) = 26
44.muchia ( 360 , 44 ) = 6
45.muchia ( 445 , 45 ) = 3
46.muchia ( 107 , 46 ) = 6
47.muchia ( 344 , 47 ) = 22
48.muchia ( 540 , 48 ) = 8
49.muchia ( 491 , 49 ) = 10
50.muchia ( 117 , 50 ) = 4
51.muchia ( 216 , 51 ) = 26
52.muchia ( 5 , 52 ) = 4
53.muchia ( 38 , 53 ) = 9
54.muchia ( 485 , 54 ) = 3
55.muchia ( 200 , 55 ) = 13
56.muchia ( 367 , 56 ) = 17
57.muchia ( 440 , 57 ) = 38
58.muchia ( 38 , 58 ) = 14
59.muchia ( 442 , 59 ) = 21
60.muchia ( 423 , 60 ) = 21
61.muchia ( 182 , 61 ) = 7
62.muchia ( 140 , 62 ) = 3
63.muchia ( 173 , 63 ) = 2
64.muchia ( 462 , 64 ) = 22
65.muchia ( 144 , 65 ) = 3
66.muchia ( 615 , 66 ) = 11
67.muchia ( 188 , 67 ) = 19
68.muchia ( 609 , 68 ) = 17
69.muchia ( 587 , 69 ) = 11
70.muchia ( 36 , 70 ) = 2
71.muchia ( 540 , 71 ) = 8
72.muchia ( 120 , 72 ) = 22
73.muchia ( 63 , 73 ) = 15
74.muchia ( 620 , 74 ) = 44
75.muchia ( 52 , 75 ) = 27
76.muchia ( 409 , 76 ) = 27
77.muchia ( 231 , 77 ) = 14
78.muchia ( 53 , 78 ) = 9
79.muchia ( 173 , 79 ) = 56
80.muchia ( 43 , 80 ) = 30
81.muchia ( 381 , 81 ) = 28
82.muchia ( 619 , 82 ) = 19
83.muchia ( 426 , 83 ) = 24
84.muchia ( 109 , 84 ) = 9
85.muchia ( 291 , 85 ) = 17
86.muchia ( 261 , 86 ) = 43
87.muchia ( 154 , 87 ) = 16
88.muchia ( 46 , 88 ) = 16
89.muchia ( 62 , 89 ) = 17
90.muchia ( 278 , 90 ) = 17
91.muchia ( 222 , 91 ) = 49
92.muchia ( 116 , 92 ) = 3
93.muchia ( 178 , 93 ) = 5
94.muchia ( 623 , 94 ) = 2
95.muchia ( 67 , 95 ) = 14
96.muchia ( 394 , 96 ) = 16
97.muchia ( 174 , 97 ) = 20
98.muchia ( 222 , 98 ) = 9
99.muchia ( 645 , 99 ) = 31
100.muchia ( 262 , 100 ) = 14
101.muchia ( 54 , 101 ) = 5
102.muchia ( 128 , 102 ) = 18
103.muchia ( 92 , 103 ) = 35
104.muchia ( 631 , 104 ) = 4
105.muchia ( 390 , 105 ) = 36
106.muchia ( 323 , 106 ) = 43
107.muchia ( 70 , 107 ) = 7
108.muchia ( 632 , 108 ) = 9
109.muchia ( 119 , 109 ) = 9
110.muchia ( 422 , 110 ) = 7
111.muchia ( 310 , 111 ) = 3
112.muchia ( 90 , 112 ) = 9
113.muchia ( 239 , 113 ) = 17
114.muchia ( 543 , 114 ) = 5
115.muchia ( 76 , 115 ) = 5
116.muchia ( 516 , 116 ) = 11
117.muchia ( 369 , 117 ) = 3
118.muchia ( 653 , 118 ) = 3
119.muchia ( 145 , 119 ) = 20
120.muchia ( 419 , 120 ) = 2
121.muchia ( 336 , 121 ) = 14
122.muchia ( 610 , 122 ) = 27
123.muchia ( 497 , 123 ) = 21
