Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 148 , 1 ) = 26
2.muchia ( 77 , 2 ) = 13
3.muchia ( 386 , 3 ) = 18
4.muchia ( 204 , 4 ) = 82
5.muchia ( 243 , 5 ) = 3
6.muchia ( 547 , 6 ) = 64
7.muchia ( 65 , 7 ) = 35
8.muchia ( 212 , 8 ) = 7
9.muchia ( 343 , 9 ) = 1
10.muchia ( 528 , 10 ) = 17
11.muchia ( 58 , 11 ) = 11
12.muchia ( 407 , 12 ) = 97
13.muchia ( 599 , 13 ) = 48
14.muchia ( 86 , 14 ) = 1
15.muchia ( 118 , 15 ) = 15
16.muchia ( 275 , 16 ) = 10
17.muchia ( 124 , 17 ) = 41
18.muchia ( 238 , 18 ) = 32
19.muchia ( 91 , 19 ) = 28
20.muchia ( 402 , 20 ) = 28
21.muchia ( 206 , 21 ) = 6
22.muchia ( 133 , 22 ) = 34
23.muchia ( 558 , 23 ) = 10
24.muchia ( 91 , 24 ) = 9
25.muchia ( 280 , 25 ) = 3
26.muchia ( 442 , 26 ) = 39
27.muchia ( 247 , 27 ) = 27
28.muchia ( 67 , 28 ) = 8
29.muchia ( 510 , 29 ) = 25
30.muchia ( 281 , 30 ) = 5
31.muchia ( 265 , 31 ) = 16
32.muchia ( 82 , 32 ) = 18
33.muchia ( 177 , 33 ) = 20
34.muchia ( 95 , 34 ) = 18
35.muchia ( 363 , 35 ) = 8
36.muchia ( 433 , 36 ) = 44
37.muchia ( 422 , 37 ) = 20
38.muchia ( 417 , 38 ) = 50
39.muchia ( 66 , 39 ) = 2
40.muchia ( 131 , 40 ) = 26
41.muchia ( 206 , 41 ) = 37
42.muchia ( 599 , 42 ) = 14
43.muchia ( 129 , 43 ) = 17
44.muchia ( 340 , 44 ) = 10
45.muchia ( 116 , 45 ) = 14
46.muchia ( 333 , 46 ) = 39
47.muchia ( 210 , 47 ) = 8
48.muchia ( 119 , 48 ) = 13
49.muchia ( 169 , 49 ) = 10
50.muchia ( 444 , 50 ) = 2
51.muchia ( 101 , 51 ) = 10
52.muchia ( 546 , 52 ) = 18
53.muchia ( 259 , 53 ) = 7
54.muchia ( 98 , 54 ) = 21
55.muchia ( 49 , 55 ) = 4
56.muchia ( 274 , 56 ) = 18
57.muchia ( 387 , 57 ) = 9
58.muchia ( 158 , 58 ) = 16
59.muchia ( 112 , 59 ) = 15
60.muchia ( 178 , 60 ) = 46
61.muchia ( 107 , 61 ) = 3
62.muchia ( 15 , 62 ) = 21
63.muchia ( 238 , 63 ) = 8
64.muchia ( 246 , 64 ) = 5
65.muchia ( 72 , 65 ) = 17
66.muchia ( 142 , 66 ) = 36
67.muchia ( 427 , 67 ) = 21
68.muchia ( 529 , 68 ) = 23
69.muchia ( 79 , 69 ) = 5
70.muchia ( 218 , 70 ) = 4
71.muchia ( 192 , 71 ) = 9
72.muchia ( 9 , 72 ) = 6
73.muchia ( 62 , 73 ) = 33
74.muchia ( 269 , 74 ) = 39
75.muchia ( 101 , 75 ) = 13
76.muchia ( 580 , 76 ) = 36
77.muchia ( 575 , 77 ) = 21
78.muchia ( 286 , 78 ) = 36
79.muchia ( 463 , 79 ) = 16
80.muchia ( 575 , 80 ) = 3
81.muchia ( 579 , 81 ) = 33
82.muchia ( 112 , 82 ) = 38
83.muchia ( 482 , 83 ) = 19
84.muchia ( 96 , 84 ) = 32
85.muchia ( 255 , 85 ) = 2
86.muchia ( 570 , 86 ) = 2
87.muchia ( 506 , 87 ) = 14
88.muchia ( 229 , 88 ) = 10
89.muchia ( 205 , 89 ) = 31
90.muchia ( 414 , 90 ) = 22
91.muchia ( 188 , 91 ) = 33
92.muchia ( 327 , 92 ) = 4
93.muchia ( 101 , 93 ) = 1
94.muchia ( 500 , 94 ) = 3
95.muchia ( 404 , 95 ) = 9
96.muchia ( 479 , 96 ) = 14
97.muchia ( 553 , 97 ) = 13
98.muchia ( 185 , 98 ) = 36
99.muchia ( 308 , 99 ) = 12
100.muchia ( 33 , 100 ) = 23
101.muchia ( 49 , 101 ) = 12
102.muchia ( 537 , 102 ) = 47
103.muchia ( 93 , 103 ) = 3
104.muchia ( 427 , 104 ) = 33
105.muchia ( 219 , 105 ) = 15
106.muchia ( 533 , 106 ) = 25
107.muchia ( 113 , 107 ) = 14
108.muchia ( 307 , 108 ) = 22
109.muchia ( 140 , 109 ) = 9
110.muchia ( 55 , 110 ) = 33
111.muchia ( 498 , 111 ) = 31
112.muchia ( 387 , 112 ) = 13
113.muchia ( 72 , 113 ) = 2
114.muchia ( 158 , 114 ) = 11
115.muchia ( 432 , 115 ) = 33
116.muchia ( 162 , 116 ) = 22
117.muchia ( 469 , 117 ) = 31
118.muchia ( 557 , 118 ) = 30
119.muchia ( 485 , 119 ) = 2
120.muchia ( 148 , 120 ) = 39
121.muchia ( 33 , 121 ) = 11
122.muchia ( 364 , 122 ) = 76
123.muchia ( 138 , 123 ) = 2
124.muchia ( 93 , 124 ) = 22
125.muchia ( 247 , 125 ) = 13
126.muchia ( 168 , 126 ) = 9
127.muchia ( 313 , 127 ) = 33
128.muchia ( 342 , 128 ) = 19
129.muchia ( 594 , 129 ) = 5
130.muchia ( 441 , 130 ) = 6
131.muchia ( 7 , 131 ) = 6
132.muchia ( 347 , 132 ) = 29
133.muchia ( 480 , 133 ) = 20
134.muchia ( 217 , 134 ) = 9
135.muchia ( 444 , 135 ) = 17
136.muchia ( 526 , 136 ) = 27
137.muchia ( 506 , 137 ) = 37
138.muchia ( 416 , 138 ) = 20
139.muchia ( 262 , 139 ) = 23
140.muchia ( 237 , 140 ) = 8
141.muchia ( 383 , 141 ) = 45
142.muchia ( 569 , 142 ) = 27
143.muchia ( 145 , 143 ) = 17
144.muchia ( 495 , 144 ) = 36
145.muchia ( 133 , 145 ) = 23
146.muchia ( 2 , 146 ) = 9
147.muchia ( 265 , 147 ) = 19
148.muchia ( 433 , 148 ) = 2
149.muchia ( 543 , 149 ) = 22
150.muchia ( 271 , 150 ) = 22
151.muchia ( 56 , 151 ) = 12
152.muchia ( 252 , 152 ) = 27
153.muchia ( 482 , 153 ) = 34
154.muchia ( 416 , 154 ) = 39
155.muchia ( 501 , 155 ) = 16
156.muchia ( 254 , 156 ) = 56
157.muchia ( 304 , 157 ) = 19
158.muchia ( 404 , 158 ) = 14
159.muchia ( 219 , 159 ) = 4
160.muchia ( 52 , 160 ) = 15
161.muchia ( 140 , 161 ) = 16
162.muchia ( 258 , 162 ) = 8
163.muchia ( 521 , 163 ) = 47
164.muchia ( 504 , 164 ) = 6
165.muchia ( 68 , 165 ) = 8
166.muchia ( 454 , 166 ) = 15
167.muchia ( 526 , 167 ) = 23
168.muchia ( 191 , 168 ) = 2
169.muchia ( 421 , 169 ) = 14
170.muchia ( 58 , 170 ) = 13
171.muchia ( 389 , 171 ) = 24
172.muchia ( 42 , 172 ) = 10
173.muchia ( 241 , 173 ) = 21
174.muchia ( 74 , 174 ) = 118
175.muchia ( 248 , 175 ) = 42
176.muchia ( 566 , 176 ) = 49
177.muchia ( 434 , 177 ) = 10
178.muchia ( 75 , 178 ) = 23
179.muchia ( 213 , 179 ) = 10
180.muchia ( 476 , 180 ) = 32
181.muchia ( 88 , 181 ) = 26
182.muchia ( 169 , 182 ) = 23
183.muchia ( 482 , 183 ) = 6
184.muchia ( 418 , 184 ) = 12
185.muchia ( 357 , 185 ) = 28
186.muchia ( 326 , 186 ) = 31
187.muchia ( 315 , 187 ) = 44
188.muchia ( 336 , 188 ) = 5
