Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 298 , 1 ) = 56
2.muchia ( 212 , 2 ) = 48
3.muchia ( 157 , 3 ) = 106
4.muchia ( 162 , 4 ) = 142
5.muchia ( 251 , 5 ) = 60
6.muchia ( 175 , 6 ) = 20
7.muchia ( 223 , 7 ) = 179
8.muchia ( 166 , 8 ) = 12
9.muchia ( 161 , 9 ) = 8
10.muchia ( 8 , 10 ) = 31
11.muchia ( 226 , 11 ) = 4
12.muchia ( 207 , 12 ) = 133
13.muchia ( 256 , 13 ) = 65
14.muchia ( 30 , 14 ) = 67
15.muchia ( 120 , 15 ) = 6
16.muchia ( 112 , 16 ) = 52
17.muchia ( 118 , 17 ) = 80
18.muchia ( 231 , 18 ) = 17
19.muchia ( 141 , 19 ) = 45
20.muchia ( 282 , 20 ) = 10
21.muchia ( 174 , 21 ) = 44
22.muchia ( 191 , 22 ) = 34
23.muchia ( 43 , 23 ) = 48
24.muchia ( 149 , 24 ) = 84
25.muchia ( 77 , 25 ) = 39
26.muchia ( 178 , 26 ) = 1
27.muchia ( 208 , 27 ) = 69
28.muchia ( 10 , 28 ) = 47
29.muchia ( 247 , 29 ) = 21
30.muchia ( 33 , 30 ) = 24
31.muchia ( 189 , 31 ) = 49
32.muchia ( 28 , 32 ) = 71
33.muchia ( 81 , 33 ) = 34
34.muchia ( 2 , 34 ) = 28
35.muchia ( 50 , 35 ) = 62
36.muchia ( 53 , 36 ) = 88
37.muchia ( 185 , 37 ) = 103
38.muchia ( 196 , 38 ) = 56
39.muchia ( 200 , 39 ) = 90
40.muchia ( 292 , 40 ) = 12
41.muchia ( 147 , 41 ) = 63
42.muchia ( 81 , 42 ) = 52
43.muchia ( 241 , 43 ) = 2
44.muchia ( 251 , 44 ) = 56
45.muchia ( 62 , 45 ) = 110
46.muchia ( 285 , 46 ) = 4
47.muchia ( 108 , 47 ) = 66
48.muchia ( 178 , 48 ) = 81
49.muchia ( 238 , 49 ) = 5
50.muchia ( 232 , 50 ) = 36
51.muchia ( 91 , 51 ) = 53
52.muchia ( 95 , 52 ) = 20
53.muchia ( 175 , 53 ) = 43
54.muchia ( 223 , 54 ) = 33
55.muchia ( 52 , 55 ) = 18
56.muchia ( 157 , 56 ) = 5
57.muchia ( 0 , 57 ) = 50
58.muchia ( 233 , 58 ) = 37
59.muchia ( 229 , 59 ) = 51
60.muchia ( 245 , 60 ) = 55
61.muchia ( 114 , 61 ) = 47
62.muchia ( 6 , 62 ) = 23
63.muchia ( 152 , 63 ) = 3
64.muchia ( 122 , 64 ) = 71
65.muchia ( 128 , 65 ) = 30
66.muchia ( 228 , 66 ) = 20
67.muchia ( 27 , 67 ) = 36
68.muchia ( 158 , 68 ) = 99
69.muchia ( 147 , 69 ) = 35
70.muchia ( 68 , 70 ) = 117
71.muchia ( 116 , 71 ) = 7
72.muchia ( 298 , 72 ) = 3
73.muchia ( 192 , 73 ) = 21
74.muchia ( 33 , 74 ) = 83
75.muchia ( 282 , 75 ) = 66
76.muchia ( 84 , 76 ) = 112
77.muchia ( 241 , 77 ) = 20
78.muchia ( 28 , 78 ) = 54
79.muchia ( 245 , 79 ) = 4
80.muchia ( 60 , 80 ) = 43
81.muchia ( 34 , 81 ) = 60
82.muchia ( 98 , 82 ) = 79
83.muchia ( 217 , 83 ) = 22
84.muchia ( 283 , 84 ) = 95
85.muchia ( 128 , 85 ) = 14
86.muchia ( 182 , 86 ) = 50
87.muchia ( 198 , 87 ) = 28
88.muchia ( 180 , 88 ) = 30
89.muchia ( 107 , 89 ) = 79
90.muchia ( 224 , 90 ) = 22
91.muchia ( 204 , 91 ) = 41
92.muchia ( 65 , 92 ) = 43
93.muchia ( 203 , 93 ) = 33
94.muchia ( 78 , 94 ) = 24
95.muchia ( 92 , 95 ) = 12
96.muchia ( 50 , 96 ) = 56
97.muchia ( 60 , 97 ) = 41
98.muchia ( 245 , 98 ) = 81
99.muchia ( 198 , 99 ) = 78
100.muchia ( 287 , 100 ) = 47
101.muchia ( 50 , 101 ) = 47
102.muchia ( 108 , 102 ) = 13
103.muchia ( 44 , 103 ) = 52
104.muchia ( 66 , 104 ) = 19
105.muchia ( 58 , 105 ) = 67
106.muchia ( 116 , 106 ) = 53
107.muchia ( 29 , 107 ) = 17
108.muchia ( 227 , 108 ) = 30
109.muchia ( 43 , 109 ) = 215
110.muchia ( 179 , 110 ) = 36
111.muchia ( 120 , 111 ) = 36
112.muchia ( 91 , 112 ) = 19
113.muchia ( 172 , 113 ) = 57
114.muchia ( 90 , 114 ) = 16
115.muchia ( 258 , 115 ) = 41
116.muchia ( 92 , 116 ) = 46
117.muchia ( 217 , 117 ) = 24
118.muchia ( 144 , 118 ) = 90
119.muchia ( 273 , 119 ) = 81
120.muchia ( 160 , 120 ) = 4
121.muchia ( 179 , 121 ) = 130
122.muchia ( 150 , 122 ) = 108
123.muchia ( 80 , 123 ) = 20
124.muchia ( 83 , 124 ) = 29
125.muchia ( 63 , 125 ) = 62
126.muchia ( 87 , 126 ) = 81
127.muchia ( 143 , 127 ) = 45
128.muchia ( 114 , 128 ) = 7
129.muchia ( 190 , 129 ) = 48
130.muchia ( 212 , 130 ) = 5
131.muchia ( 198 , 131 ) = 69
132.muchia ( 276 , 132 ) = 52
133.muchia ( 128 , 133 ) = 45
134.muchia ( 107 , 134 ) = 27
135.muchia ( 137 , 135 ) = 41
136.muchia ( 103 , 136 ) = 48
137.muchia ( 158 , 137 ) = 46
138.muchia ( 124 , 138 ) = 14
139.muchia ( 118 , 139 ) = 47
140.muchia ( 128 , 140 ) = 8
141.muchia ( 166 , 141 ) = 40
142.muchia ( 113 , 142 ) = 29
143.muchia ( 282 , 143 ) = 62
144.muchia ( 111 , 144 ) = 22
145.muchia ( 84 , 145 ) = 9
146.muchia ( 0 , 146 ) = 68
147.muchia ( 138 , 147 ) = 19
148.muchia ( 157 , 148 ) = 16
149.muchia ( 250 , 149 ) = 38
150.muchia ( 264 , 150 ) = 28
151.muchia ( 182 , 151 ) = 37
152.muchia ( 119 , 152 ) = 30
153.muchia ( 31 , 153 ) = 45
154.muchia ( 6 , 154 ) = 23
155.muchia ( 65 , 155 ) = 88
156.muchia ( 71 , 156 ) = 10
157.muchia ( 282 , 157 ) = 21
158.muchia ( 72 , 158 ) = 3
159.muchia ( 261 , 159 ) = 5
160.muchia ( 222 , 160 ) = 16
161.muchia ( 120 , 161 ) = 14
162.muchia ( 69 , 162 ) = 3
163.muchia ( 129 , 163 ) = 63
164.muchia ( 93 , 164 ) = 78
165.muchia ( 95 , 165 ) = 65
166.muchia ( 248 , 166 ) = 39
167.muchia ( 251 , 167 ) = 6
168.muchia ( 221 , 168 ) = 21
169.muchia ( 275 , 169 ) = 50
170.muchia ( 207 , 170 ) = 37
171.muchia ( 257 , 171 ) = 36
172.muchia ( 13 , 172 ) = 85
173.muchia ( 266 , 173 ) = 51
174.muchia ( 50 , 174 ) = 30
175.muchia ( 93 , 175 ) = 43
176.muchia ( 0 , 176 ) = 167
177.muchia ( 295 , 177 ) = 58
178.muchia ( 130 , 178 ) = 44
179.muchia ( 133 , 179 ) = 22
180.muchia ( 0 , 180 ) = 53
181.muchia ( 63 , 181 ) = 81
182.muchia ( 295 , 182 ) = 34
183.muchia ( 265 , 183 ) = 61
184.muchia ( 205 , 184 ) = 88
185.muchia ( 175 , 185 ) = 28
186.muchia ( 277 , 186 ) = 21
187.muchia ( 144 , 187 ) = 7
188.muchia ( 25 , 188 ) = 34
189.muchia ( 46 , 189 ) = 4
190.muchia ( 274 , 190 ) = 25
191.muchia ( 251 , 191 ) = 50
192.muchia ( 239 , 192 ) = 45
193.muchia ( 128 , 193 ) = 40
194.muchia ( 193 , 194 ) = 34
195.muchia ( 126 , 195 ) = 111
196.muchia ( 184 , 196 ) = 94
197.muchia ( 179 , 197 ) = 72
198.muchia ( 50 , 198 ) = 46
199.muchia ( 133 , 199 ) = 30
200.muchia ( 94 , 200 ) = 9
201.muchia ( 210 , 201 ) = 102
202.muchia ( 261 , 202 ) = 54
203.muchia ( 261 , 203 ) = 35
204.muchia ( 46 , 204 ) = 1
205.muchia ( 229 , 205 ) = 2
206.muchia ( 192 , 206 ) = 44
207.muchia ( 160 , 207 ) = 6
208.muchia ( 281 , 208 ) = 54
209.muchia ( 44 , 209 ) = 43
210.muchia ( 23 , 210 ) = 15
211.muchia ( 250 , 211 ) = 113
212.muchia ( 282 , 212 ) = 41
213.muchia ( 29 , 213 ) = 138
214.muchia ( 261 , 214 ) = 31
215.muchia ( 51 , 215 ) = 47
216.muchia ( 223 , 216 ) = 45
217.muchia ( 50 , 217 ) = 23
218.muchia ( 147 , 218 ) = 52
219.muchia ( 229 , 219 ) = 140
220.muchia ( 4 , 220 ) = 4
221.muchia ( 272 , 221 ) = 86
222.muchia ( 203 , 222 ) = 33
223.muchia ( 63 , 223 ) = 78
224.muchia ( 188 , 224 ) = 21
225.muchia ( 86 , 225 ) = 55
226.muchia ( 92 , 226 ) = 43
227.muchia ( 149 , 227 ) = 10
228.muchia ( 256 , 228 ) = 61
229.muchia ( 131 , 229 ) = 19
230.muchia ( 146 , 230 ) = 35
231.muchia ( 128 , 231 ) = 20
232.muchia ( 212 , 232 ) = 23
233.muchia ( 190 , 233 ) = 63
234.muchia ( 268 , 234 ) = 5
235.muchia ( 34 , 235 ) = 38
236.muchia ( 79 , 236 ) = 6
