Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 86 , 1 ) = 46
2.muchia ( 10 , 2 ) = 124
3.muchia ( 90 , 3 ) = 182
4.muchia ( 73 , 4 ) = 94
5.muchia ( 97 , 5 ) = 60
6.muchia ( 92 , 6 ) = 51
7.muchia ( 92 , 7 ) = 113
8.muchia ( 55 , 8 ) = 182
9.muchia ( 77 , 9 ) = 6
10.muchia ( 86 , 10 ) = 24
11.muchia ( 61 , 11 ) = 200
12.muchia ( 51 , 12 ) = 108
13.muchia ( 60 , 13 ) = 180
14.muchia ( 42 , 14 ) = 158
15.muchia ( 6 , 15 ) = 202
16.muchia ( 67 , 16 ) = 23
17.muchia ( 62 , 17 ) = 159
18.muchia ( 46 , 18 ) = 16
19.muchia ( 67 , 19 ) = 68
20.muchia ( 81 , 20 ) = 148
21.muchia ( 88 , 21 ) = 281
22.muchia ( 27 , 22 ) = 142
23.muchia ( 61 , 23 ) = 50
24.muchia ( 28 , 24 ) = 22
25.muchia ( 66 , 25 ) = 178
26.muchia ( 31 , 26 ) = 13
27.muchia ( 91 , 27 ) = 13
28.muchia ( 52 , 28 ) = 100
29.muchia ( 16 , 29 ) = 150
30.muchia ( 33 , 30 ) = 318
31.muchia ( 37 , 31 ) = 85
32.muchia ( 43 , 32 ) = 38
33.muchia ( 73 , 33 ) = 17
34.muchia ( 87 , 34 ) = 240
35.muchia ( 92 , 35 ) = 9
36.muchia ( 49 , 36 ) = 89
37.muchia ( 17 , 37 ) = 117
38.muchia ( 84 , 38 ) = 39
39.muchia ( 94 , 39 ) = 49
40.muchia ( 18 , 40 ) = 35
41.muchia ( 26 , 41 ) = 153
42.muchia ( 64 , 42 ) = 91
43.muchia ( 35 , 43 ) = 131
44.muchia ( 86 , 44 ) = 94
45.muchia ( 96 , 45 ) = 18
46.muchia ( 44 , 46 ) = 103
47.muchia ( 57 , 47 ) = 60
48.muchia ( 39 , 48 ) = 13
49.muchia ( 38 , 49 ) = 75
50.muchia ( 16 , 50 ) = 131
51.muchia ( 78 , 51 ) = 134
52.muchia ( 26 , 52 ) = 64
53.muchia ( 77 , 53 ) = 167
54.muchia ( 59 , 54 ) = 138
55.muchia ( 48 , 55 ) = 140
56.muchia ( 42 , 56 ) = 59
57.muchia ( 0 , 57 ) = 145
58.muchia ( 46 , 58 ) = 75
59.muchia ( 58 , 59 ) = 95
60.muchia ( 77 , 60 ) = 209
61.muchia ( 48 , 61 ) = 94
62.muchia ( 0 , 62 ) = 149
63.muchia ( 8 , 63 ) = 9
64.muchia ( 23 , 64 ) = 5
65.muchia ( 87 , 65 ) = 388
66.muchia ( 18 , 66 ) = 84
67.muchia ( 54 , 67 ) = 144
68.muchia ( 98 , 68 ) = 13
69.muchia ( 61 , 69 ) = 232
70.muchia ( 80 , 70 ) = 94
71.muchia ( 50 , 71 ) = 412
72.muchia ( 7 , 72 ) = 90
73.muchia ( 84 , 73 ) = 146
74.muchia ( 13 , 74 ) = 256
75.muchia ( 46 , 75 ) = 63
76.muchia ( 40 , 76 ) = 254
77.muchia ( 59 , 77 ) = 83
78.muchia ( 77 , 78 ) = 122
79.muchia ( 97 , 79 ) = 159
80.muchia ( 98 , 80 ) = 115
81.muchia ( 46 , 81 ) = 170
82.muchia ( 54 , 82 ) = 83
83.muchia ( 6 , 83 ) = 85
84.muchia ( 18 , 84 ) = 25
85.muchia ( 24 , 85 ) = 137
86.muchia ( 42 , 86 ) = 103
87.muchia ( 92 , 87 ) = 284
88.muchia ( 40 , 88 ) = 89
89.muchia ( 97 , 89 ) = 46
90.muchia ( 24 , 90 ) = 183
91.muchia ( 3 , 91 ) = 58
92.muchia ( 2 , 92 ) = 105
93.muchia ( 4 , 93 ) = 18
94.muchia ( 37 , 94 ) = 25
95.muchia ( 29 , 95 ) = 202
96.muchia ( 24 , 96 ) = 86
97.muchia ( 53 , 97 ) = 6
98.muchia ( 84 , 98 ) = 85
99.muchia ( 18 , 99 ) = 236
Prin urmare costul arborelui minim de acoperire gasit este: 11162
Timpul de executie: 0.010000467300415039
