Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 65 , 1 ) = 4
2.muchia ( 480 , 2 ) = 19
3.muchia ( 388 , 3 ) = 20
4.muchia ( 69 , 4 ) = 51
5.muchia ( 75 , 5 ) = 25
6.muchia ( 245 , 6 ) = 13
7.muchia ( 111 , 7 ) = 33
8.muchia ( 318 , 8 ) = 25
9.muchia ( 468 , 9 ) = 19
10.muchia ( 406 , 10 ) = 44
11.muchia ( 189 , 11 ) = 31
12.muchia ( 55 , 12 ) = 6
13.muchia ( 488 , 13 ) = 34
14.muchia ( 130 , 14 ) = 29
15.muchia ( 203 , 15 ) = 21
16.muchia ( 190 , 16 ) = 41
17.muchia ( 300 , 17 ) = 27
18.muchia ( 234 , 18 ) = 53
19.muchia ( 143 , 19 ) = 31
20.muchia ( 489 , 20 ) = 32
21.muchia ( 368 , 21 ) = 3
22.muchia ( 313 , 22 ) = 17
23.muchia ( 230 , 23 ) = 52
24.muchia ( 429 , 24 ) = 101
25.muchia ( 177 , 25 ) = 20
26.muchia ( 174 , 26 ) = 3
27.muchia ( 138 , 27 ) = 46
28.muchia ( 240 , 28 ) = 30
29.muchia ( 484 , 29 ) = 30
30.muchia ( 277 , 30 ) = 18
31.muchia ( 70 , 31 ) = 29
32.muchia ( 464 , 32 ) = 22
33.muchia ( 322 , 33 ) = 7
34.muchia ( 315 , 34 ) = 30
35.muchia ( 191 , 35 ) = 23
36.muchia ( 483 , 36 ) = 50
37.muchia ( 465 , 37 ) = 26
38.muchia ( 270 , 38 ) = 34
39.muchia ( 477 , 39 ) = 38
40.muchia ( 215 , 40 ) = 23
41.muchia ( 438 , 41 ) = 13
42.muchia ( 466 , 42 ) = 44
43.muchia ( 268 , 43 ) = 19
44.muchia ( 172 , 44 ) = 1
45.muchia ( 333 , 45 ) = 7
46.muchia ( 15 , 46 ) = 15
47.muchia ( 220 , 47 ) = 35
48.muchia ( 431 , 48 ) = 13
49.muchia ( 375 , 49 ) = 1
50.muchia ( 192 , 50 ) = 23
51.muchia ( 135 , 51 ) = 36
52.muchia ( 402 , 52 ) = 11
53.muchia ( 301 , 53 ) = 133
54.muchia ( 477 , 54 ) = 27
55.muchia ( 225 , 55 ) = 16
56.muchia ( 17 , 56 ) = 12
57.muchia ( 297 , 57 ) = 15
58.muchia ( 0 , 58 ) = 31
59.muchia ( 169 , 59 ) = 4
60.muchia ( 284 , 60 ) = 21
61.muchia ( 332 , 61 ) = 17
62.muchia ( 39 , 62 ) = 5
63.muchia ( 188 , 63 ) = 18
64.muchia ( 370 , 64 ) = 46
65.muchia ( 264 , 65 ) = 16
66.muchia ( 291 , 66 ) = 32
67.muchia ( 336 , 67 ) = 36
68.muchia ( 161 , 68 ) = 29
69.muchia ( 283 , 69 ) = 23
70.muchia ( 444 , 70 ) = 5
71.muchia ( 275 , 71 ) = 13
72.muchia ( 245 , 72 ) = 26
73.muchia ( 396 , 73 ) = 7
74.muchia ( 478 , 74 ) = 48
75.muchia ( 383 , 75 ) = 51
76.muchia ( 268 , 76 ) = 4
77.muchia ( 35 , 77 ) = 12
78.muchia ( 478 , 78 ) = 8
79.muchia ( 8 , 79 ) = 7
80.muchia ( 251 , 80 ) = 47
