Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 202 , 1 ) = 25
2.muchia ( 200 , 2 ) = 24
3.muchia ( 195 , 3 ) = 4
4.muchia ( 132 , 4 ) = 41
5.muchia ( 155 , 5 ) = 2
6.muchia ( 15 , 6 ) = 16
7.muchia ( 58 , 7 ) = 26
8.muchia ( 143 , 8 ) = 4
9.muchia ( 0 , 9 ) = 137
10.muchia ( 135 , 10 ) = 53
11.muchia ( 24 , 11 ) = 86
12.muchia ( 2 , 12 ) = 5
13.muchia ( 184 , 13 ) = 16
14.muchia ( 62 , 14 ) = 41
15.muchia ( 58 , 15 ) = 6
16.muchia ( 196 , 16 ) = 41
17.muchia ( 61 , 17 ) = 44
18.muchia ( 115 , 18 ) = 17
19.muchia ( 62 , 19 ) = 44
20.muchia ( 177 , 20 ) = 6
21.muchia ( 4 , 21 ) = 34
22.muchia ( 232 , 22 ) = 74
23.muchia ( 236 , 23 ) = 10
24.muchia ( 188 , 24 ) = 71
25.muchia ( 204 , 25 ) = 51
26.muchia ( 150 , 26 ) = 18
27.muchia ( 172 , 27 ) = 64
28.muchia ( 234 , 28 ) = 54
29.muchia ( 122 , 29 ) = 32
30.muchia ( 103 , 30 ) = 58
31.muchia ( 98 , 31 ) = 68
32.muchia ( 102 , 32 ) = 94
33.muchia ( 2 , 33 ) = 18
34.muchia ( 115 , 34 ) = 16
35.muchia ( 217 , 35 ) = 93
36.muchia ( 169 , 36 ) = 16
37.muchia ( 154 , 37 ) = 28
38.muchia ( 181 , 38 ) = 30
39.muchia ( 109 , 39 ) = 55
40.muchia ( 165 , 40 ) = 72
41.muchia ( 114 , 41 ) = 7
42.muchia ( 210 , 42 ) = 67
43.muchia ( 192 , 43 ) = 28
44.muchia ( 67 , 44 ) = 36
45.muchia ( 97 , 45 ) = 100
46.muchia ( 126 , 46 ) = 46
47.muchia ( 105 , 47 ) = 42
48.muchia ( 224 , 48 ) = 12
49.muchia ( 85 , 49 ) = 39
50.muchia ( 175 , 50 ) = 21
51.muchia ( 27 , 51 ) = 43
52.muchia ( 236 , 52 ) = 89
53.muchia ( 61 , 53 ) = 12
54.muchia ( 246 , 54 ) = 3
55.muchia ( 239 , 55 ) = 58
56.muchia ( 19 , 56 ) = 31
57.muchia ( 235 , 57 ) = 43
58.muchia ( 9 , 58 ) = 44
59.muchia ( 61 , 59 ) = 223
60.muchia ( 118 , 60 ) = 36
61.muchia ( 122 , 61 ) = 59
62.muchia ( 219 , 62 ) = 30
63.muchia ( 2 , 63 ) = 4
64.muchia ( 76 , 64 ) = 60
65.muchia ( 4 , 65 ) = 41
66.muchia ( 109 , 66 ) = 35
67.muchia ( 201 , 67 ) = 9
68.muchia ( 146 , 68 ) = 49
69.muchia ( 12 , 69 ) = 45
70.muchia ( 219 , 70 ) = 120
71.muchia ( 110 , 71 ) = 29
72.muchia ( 108 , 72 ) = 46
73.muchia ( 37 , 73 ) = 24
74.muchia ( 18 , 74 ) = 36
75.muchia ( 192 , 75 ) = 24
76.muchia ( 17 , 76 ) = 69
77.muchia ( 58 , 77 ) = 8
78.muchia ( 11 , 78 ) = 173
79.muchia ( 41 , 79 ) = 42
80.muchia ( 183 , 80 ) = 98
81.muchia ( 167 , 81 ) = 22
82.muchia ( 32 , 82 ) = 84
83.muchia ( 65 , 83 ) = 49
84.muchia ( 149 , 84 ) = 114
85.muchia ( 65 , 85 ) = 32
86.muchia ( 8 , 86 ) = 52
87.muchia ( 239 , 87 ) = 89
88.muchia ( 227 , 88 ) = 1
89.muchia ( 139 , 89 ) = 3
90.muchia ( 127 , 90 ) = 72
91.muchia ( 219 , 91 ) = 133
92.muchia ( 211 , 92 ) = 105
93.muchia ( 29 , 93 ) = 136
94.muchia ( 190 , 94 ) = 48
95.muchia ( 197 , 95 ) = 97
96.muchia ( 126 , 96 ) = 51
97.muchia ( 67 , 97 ) = 44
98.muchia ( 8 , 98 ) = 45
99.muchia ( 146 , 99 ) = 22
100.muchia ( 129 , 100 ) = 42
101.muchia ( 231 , 101 ) = 30
102.muchia ( 41 , 102 ) = 30
103.muchia ( 242 , 103 ) = 60
104.muchia ( 233 , 104 ) = 106
105.muchia ( 242 , 105 ) = 3
106.muchia ( 207 , 106 ) = 113
107.muchia ( 159 , 107 ) = 22
108.muchia ( 200 , 108 ) = 51
109.muchia ( 112 , 109 ) = 8
110.muchia ( 127 , 110 ) = 87
111.muchia ( 233 , 111 ) = 118
112.muchia ( 122 , 112 ) = 67
113.muchia ( 46 , 113 ) = 6
114.muchia ( 209 , 114 ) = 1
115.muchia ( 198 , 115 ) = 11
116.muchia ( 140 , 116 ) = 41
117.muchia ( 103 , 117 ) = 193
118.muchia ( 247 , 118 ) = 51
119.muchia ( 201 , 119 ) = 43
120.muchia ( 136 , 120 ) = 28
121.muchia ( 44 , 121 ) = 15
122.muchia ( 127 , 122 ) = 2
123.muchia ( 230 , 123 ) = 80
124.muchia ( 179 , 124 ) = 56
125.muchia ( 12 , 125 ) = 36
126.muchia ( 15 , 126 ) = 50
127.muchia ( 201 , 127 ) = 64
128.muchia ( 155 , 128 ) = 3
129.muchia ( 202 , 129 ) = 63
130.muchia ( 189 , 130 ) = 60
131.muchia ( 137 , 131 ) = 26
132.muchia ( 209 , 132 ) = 16
133.muchia ( 96 , 133 ) = 63
134.muchia ( 149 , 134 ) = 63
135.muchia ( 240 , 135 ) = 32
136.muchia ( 238 , 136 ) = 9
137.muchia ( 198 , 137 ) = 33
138.muchia ( 190 , 138 ) = 44
139.muchia ( 209 , 139 ) = 49
140.muchia ( 235 , 140 ) = 3
141.muchia ( 122 , 141 ) = 21
142.muchia ( 61 , 142 ) = 41
143.muchia ( 72 , 143 ) = 44
144.muchia ( 88 , 144 ) = 49
145.muchia ( 140 , 145 ) = 43
146.muchia ( 122 , 146 ) = 65
147.muchia ( 37 , 147 ) = 97
148.muchia ( 36 , 148 ) = 19
149.muchia ( 155 , 149 ) = 7
150.muchia ( 194 , 150 ) = 22
151.muchia ( 92 , 151 ) = 11
152.muchia ( 27 , 152 ) = 55
153.muchia ( 144 , 153 ) = 6
154.muchia ( 9 , 154 ) = 12
155.muchia ( 178 , 155 ) = 11
156.muchia ( 149 , 156 ) = 34
157.muchia ( 142 , 157 ) = 119
158.muchia ( 34 , 158 ) = 22
159.muchia ( 204 , 159 ) = 27
160.muchia ( 75 , 160 ) = 21
161.muchia ( 31 , 161 ) = 148
162.muchia ( 127 , 162 ) = 32
163.muchia ( 219 , 163 ) = 45
164.muchia ( 38 , 164 ) = 81
165.muchia ( 75 , 165 ) = 38
166.muchia ( 149 , 166 ) = 2
167.muchia ( 232 , 167 ) = 21
168.muchia ( 183 , 168 ) = 52
169.muchia ( 19 , 169 ) = 19
170.muchia ( 15 , 170 ) = 37
171.muchia ( 103 , 171 ) = 96
172.muchia ( 77 , 172 ) = 28
173.muchia ( 11 , 173 ) = 43
174.muchia ( 116 , 174 ) = 2
175.muchia ( 115 , 175 ) = 41
176.muchia ( 114 , 176 ) = 71
177.muchia ( 36 , 177 ) = 1
178.muchia ( 183 , 178 ) = 16
179.muchia ( 136 , 179 ) = 40
180.muchia ( 173 , 180 ) = 208
181.muchia ( 169 , 181 ) = 7
182.muchia ( 69 , 182 ) = 41
183.muchia ( 19 , 183 ) = 13
184.muchia ( 132 , 184 ) = 56
185.muchia ( 6 , 185 ) = 107
186.muchia ( 96 , 186 ) = 78
187.muchia ( 159 , 187 ) = 53
188.muchia ( 196 , 188 ) = 48
189.muchia ( 242 , 189 ) = 41
190.muchia ( 196 , 190 ) = 20
191.muchia ( 51 , 191 ) = 57
192.muchia ( 57 , 192 ) = 55
193.muchia ( 172 , 193 ) = 179
194.muchia ( 220 , 194 ) = 49
195.muchia ( 25 , 195 ) = 23
196.muchia ( 128 , 196 ) = 26
197.muchia ( 238 , 197 ) = 31
198.muchia ( 240 , 198 ) = 1
199.muchia ( 29 , 199 ) = 18
200.muchia ( 9 , 200 ) = 4
201.muchia ( 102 , 201 ) = 37
202.muchia ( 63 , 202 ) = 3
203.muchia ( 207 , 203 ) = 52
204.muchia ( 165 , 204 ) = 22
205.muchia ( 85 , 205 ) = 63
206.muchia ( 235 , 206 ) = 13
207.muchia ( 234 , 207 ) = 46
208.muchia ( 41 , 208 ) = 59
209.muchia ( 69 , 209 ) = 8
210.muchia ( 27 , 210 ) = 27
211.muchia ( 164 , 211 ) = 114
212.muchia ( 8 , 212 ) = 42
213.muchia ( 195 , 213 ) = 60
214.muchia ( 167 , 214 ) = 98
215.muchia ( 238 , 215 ) = 60
216.muchia ( 221 , 216 ) = 43
217.muchia ( 94 , 217 ) = 22
218.muchia ( 57 , 218 ) = 25
219.muchia ( 88 , 219 ) = 27
220.muchia ( 108 , 220 ) = 51
221.muchia ( 88 , 221 ) = 73
222.muchia ( 118 , 222 ) = 43
223.muchia ( 58 , 223 ) = 32
224.muchia ( 81 , 224 ) = 14
225.muchia ( 221 , 225 ) = 3
226.muchia ( 40 , 226 ) = 97
227.muchia ( 6 , 227 ) = 29
228.muchia ( 33 , 228 ) = 27
229.muchia ( 68 , 229 ) = 94
230.muchia ( 96 , 230 ) = 13
231.muchia ( 204 , 231 ) = 97
232.muchia ( 50 , 232 ) = 46
233.muchia ( 92 , 233 ) = 45
234.muchia ( 43 , 234 ) = 11
235.muchia ( 81 , 235 ) = 20
236.muchia ( 39 , 236 ) = 12
237.muchia ( 96 , 237 ) = 6
238.muchia ( 6 , 238 ) = 64
239.muchia ( 181 , 239 ) = 43
240.muchia ( 217 , 240 ) = 49
241.muchia ( 60 , 241 ) = 57
242.muchia ( 83 , 242 ) = 38
243.muchia ( 102 , 243 ) = 107
