Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 25 , 1 ) = 65
2.muchia ( 32 , 2 ) = 317
3.muchia ( 46 , 3 ) = 852
4.muchia ( 1 , 4 ) = 137
5.muchia ( 4 , 5 ) = 218
6.muchia ( 36 , 6 ) = 423
7.muchia ( 30 , 7 ) = 379
8.muchia ( 41 , 8 ) = 34
9.muchia ( 42 , 9 ) = 139
10.muchia ( 31 , 10 ) = 380
11.muchia ( 49 , 11 ) = 263
12.muchia ( 1 , 12 ) = 331
13.muchia ( 26 , 13 ) = 448
14.muchia ( 33 , 14 ) = 20
15.muchia ( 20 , 15 ) = 188
16.muchia ( 5 , 16 ) = 87
17.muchia ( 15 , 17 ) = 17
18.muchia ( 15 , 18 ) = 1170
19.muchia ( 22 , 19 ) = 188
20.muchia ( 19 , 20 ) = 170
21.muchia ( 49 , 21 ) = 118
22.muchia ( 14 , 22 ) = 204
23.muchia ( 0 , 23 ) = 212
24.muchia ( 41 , 24 ) = 214
25.muchia ( 40 , 25 ) = 55
26.muchia ( 6 , 26 ) = 60
27.muchia ( 24 , 27 ) = 99
28.muchia ( 8 , 28 ) = 269
29.muchia ( 36 , 29 ) = 641
30.muchia ( 28 , 30 ) = 147
31.muchia ( 40 , 31 ) = 71
32.muchia ( 6 , 32 ) = 98
33.muchia ( 43 , 33 ) = 100
34.muchia ( 27 , 34 ) = 735
35.muchia ( 23 , 35 ) = 81
36.muchia ( 33 , 36 ) = 107
37.muchia ( 23 , 37 ) = 78
38.muchia ( 11 , 38 ) = 275
39.muchia ( 27 , 39 ) = 425
40.muchia ( 14 , 40 ) = 156
41.muchia ( 15 , 41 ) = 297
42.muchia ( 35 , 42 ) = 163
43.muchia ( 37 , 43 ) = 4
44.muchia ( 38 , 44 ) = 132
45.muchia ( 8 , 45 ) = 163
46.muchia ( 16 , 46 ) = 161
47.muchia ( 12 , 47 ) = 391
48.muchia ( 9 , 48 ) = 142
49.muchia ( 36 , 49 ) = 237
Prin urmare costul arborelui minim de acoperire gasit este: 11661
Timpul de executie: 0.002000093460083008
