Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 139 , 1 ) = 89
2.muchia ( 120 , 2 ) = 109
3.muchia ( 8 , 3 ) = 95
4.muchia ( 165 , 4 ) = 60
5.muchia ( 34 , 5 ) = 53
6.muchia ( 157 , 6 ) = 19
7.muchia ( 162 , 7 ) = 14
8.muchia ( 27 , 8 ) = 96
9.muchia ( 166 , 9 ) = 118
10.muchia ( 7 , 10 ) = 11
11.muchia ( 62 , 11 ) = 69
12.muchia ( 78 , 12 ) = 38
13.muchia ( 58 , 13 ) = 64
14.muchia ( 78 , 14 ) = 1
15.muchia ( 174 , 15 ) = 156
16.muchia ( 4 , 16 ) = 44
17.muchia ( 55 , 17 ) = 176
18.muchia ( 143 , 18 ) = 21
19.muchia ( 168 , 19 ) = 17
20.muchia ( 99 , 20 ) = 94
21.muchia ( 164 , 21 ) = 13
22.muchia ( 21 , 22 ) = 95
23.muchia ( 182 , 23 ) = 49
24.muchia ( 78 , 24 ) = 68
25.muchia ( 167 , 25 ) = 83
26.muchia ( 39 , 26 ) = 28
27.muchia ( 53 , 27 ) = 54
28.muchia ( 83 , 28 ) = 47
29.muchia ( 120 , 29 ) = 54
30.muchia ( 19 , 30 ) = 80
31.muchia ( 128 , 31 ) = 48
32.muchia ( 60 , 32 ) = 112
33.muchia ( 164 , 33 ) = 84
34.muchia ( 113 , 34 ) = 71
35.muchia ( 3 , 35 ) = 101
36.muchia ( 44 , 36 ) = 98
37.muchia ( 113 , 37 ) = 53
38.muchia ( 160 , 38 ) = 118
39.muchia ( 161 , 39 ) = 58
40.muchia ( 109 , 40 ) = 18
41.muchia ( 176 , 41 ) = 27
42.muchia ( 139 , 42 ) = 17
43.muchia ( 157 , 43 ) = 9
44.muchia ( 20 , 44 ) = 108
45.muchia ( 183 , 45 ) = 32
46.muchia ( 27 , 46 ) = 66
47.muchia ( 172 , 47 ) = 86
48.muchia ( 192 , 48 ) = 69
49.muchia ( 59 , 49 ) = 79
50.muchia ( 93 , 50 ) = 45
51.muchia ( 172 , 51 ) = 188
52.muchia ( 77 , 52 ) = 20
53.muchia ( 125 , 53 ) = 5
54.muchia ( 184 , 54 ) = 123
55.muchia ( 81 , 55 ) = 158
56.muchia ( 130 , 56 ) = 41
57.muchia ( 84 , 57 ) = 9
58.muchia ( 151 , 58 ) = 36
59.muchia ( 117 , 59 ) = 35
60.muchia ( 116 , 60 ) = 144
61.muchia ( 3 , 61 ) = 87
62.muchia ( 120 , 62 ) = 24
63.muchia ( 124 , 63 ) = 184
64.muchia ( 154 , 64 ) = 31
65.muchia ( 175 , 65 ) = 49
66.muchia ( 152 , 66 ) = 7
67.muchia ( 53 , 67 ) = 105
68.muchia ( 29 , 68 ) = 59
69.muchia ( 22 , 69 ) = 31
70.muchia ( 164 , 70 ) = 169
71.muchia ( 44 , 71 ) = 107
72.muchia ( 14 , 72 ) = 62
73.muchia ( 40 , 73 ) = 61
74.muchia ( 118 , 74 ) = 88
75.muchia ( 53 , 75 ) = 98
76.muchia ( 133 , 76 ) = 165
77.muchia ( 86 , 77 ) = 85
78.muchia ( 163 , 78 ) = 10
79.muchia ( 176 , 79 ) = 24
80.muchia ( 6 , 80 ) = 17
81.muchia ( 120 , 81 ) = 5
82.muchia ( 77 , 82 ) = 42
83.muchia ( 43 , 83 ) = 29
84.muchia ( 163 , 84 ) = 31
85.muchia ( 112 , 85 ) = 20
86.muchia ( 125 , 86 ) = 43
87.muchia ( 180 , 87 ) = 94
88.muchia ( 190 , 88 ) = 52
89.muchia ( 82 , 89 ) = 94
90.muchia ( 87 , 90 ) = 26
91.muchia ( 27 , 91 ) = 74
92.muchia ( 185 , 92 ) = 80
93.muchia ( 96 , 93 ) = 59
94.muchia ( 91 , 94 ) = 223
95.muchia ( 194 , 95 ) = 45
96.muchia ( 0 , 96 ) = 76
97.muchia ( 73 , 97 ) = 12
98.muchia ( 39 , 98 ) = 55
99.muchia ( 187 , 99 ) = 69
100.muchia ( 190 , 100 ) = 27
101.muchia ( 151 , 101 ) = 60
102.muchia ( 68 , 102 ) = 100
103.muchia ( 107 , 103 ) = 103
104.muchia ( 5 , 104 ) = 30
105.muchia ( 170 , 105 ) = 50
106.muchia ( 100 , 106 ) = 90
107.muchia ( 131 , 107 ) = 95
108.muchia ( 183 , 108 ) = 65
109.muchia ( 177 , 109 ) = 13
110.muchia ( 70 , 110 ) = 73
111.muchia ( 92 , 111 ) = 71
112.muchia ( 75 , 112 ) = 35
113.muchia ( 111 , 113 ) = 11
114.muchia ( 44 , 114 ) = 43
115.muchia ( 40 , 115 ) = 187
116.muchia ( 91 , 116 ) = 61
117.muchia ( 183 , 117 ) = 33
118.muchia ( 39 , 118 ) = 64
119.muchia ( 16 , 119 ) = 95
120.muchia ( 195 , 120 ) = 35
121.muchia ( 85 , 121 ) = 144
122.muchia ( 29 , 122 ) = 23
123.muchia ( 1 , 123 ) = 107
124.muchia ( 180 , 124 ) = 43
125.muchia ( 41 , 125 ) = 26
126.muchia ( 109 , 126 ) = 78
127.muchia ( 161 , 127 ) = 70
128.muchia ( 99 , 128 ) = 78
129.muchia ( 120 , 129 ) = 319
130.muchia ( 46 , 130 ) = 84
131.muchia ( 22 , 131 ) = 27
132.muchia ( 43 , 132 ) = 13
133.muchia ( 12 , 133 ) = 28
134.muchia ( 92 , 134 ) = 18
135.muchia ( 78 , 135 ) = 21
136.muchia ( 50 , 136 ) = 8
137.muchia ( 40 , 137 ) = 106
138.muchia ( 71 , 138 ) = 93
139.muchia ( 175 , 139 ) = 35
140.muchia ( 23 , 140 ) = 2
141.muchia ( 7 , 141 ) = 8
142.muchia ( 73 , 142 ) = 58
143.muchia ( 189 , 143 ) = 119
144.muchia ( 102 , 144 ) = 55
145.muchia ( 130 , 145 ) = 91
146.muchia ( 83 , 146 ) = 154
147.muchia ( 196 , 147 ) = 34
148.muchia ( 160 , 148 ) = 79
149.muchia ( 97 , 149 ) = 80
150.muchia ( 114 , 150 ) = 106
151.muchia ( 42 , 151 ) = 20
152.muchia ( 122 , 152 ) = 10
153.muchia ( 77 , 153 ) = 6
154.muchia ( 8 , 154 ) = 51
155.muchia ( 191 , 155 ) = 31
156.muchia ( 71 , 156 ) = 312
157.muchia ( 46 , 157 ) = 42
158.muchia ( 195 , 158 ) = 5
159.muchia ( 195 , 159 ) = 66
160.muchia ( 79 , 160 ) = 81
161.muchia ( 100 , 161 ) = 63
162.muchia ( 16 , 162 ) = 67
163.muchia ( 136 , 163 ) = 49
164.muchia ( 172 , 164 ) = 55
165.muchia ( 85 , 165 ) = 11
166.muchia ( 2 , 166 ) = 31
167.muchia ( 27 , 167 ) = 28
168.muchia ( 176 , 168 ) = 138
169.muchia ( 11 , 169 ) = 62
170.muchia ( 101 , 170 ) = 71
171.muchia ( 178 , 171 ) = 143
172.muchia ( 118 , 172 ) = 43
173.muchia ( 161 , 173 ) = 19
174.muchia ( 88 , 174 ) = 99
175.muchia ( 12 , 175 ) = 8
176.muchia ( 73 , 176 ) = 63
177.muchia ( 81 , 177 ) = 30
178.muchia ( 65 , 178 ) = 116
179.muchia ( 48 , 179 ) = 64
180.muchia ( 6 , 180 ) = 101
181.muchia ( 81 , 181 ) = 34
182.muchia ( 163 , 182 ) = 36
183.muchia ( 133 , 183 ) = 52
184.muchia ( 179 , 184 ) = 84
185.muchia ( 158 , 185 ) = 2
186.muchia ( 107 , 186 ) = 7
187.muchia ( 46 , 187 ) = 15
188.muchia ( 99 , 188 ) = 28
189.muchia ( 188 , 189 ) = 2
190.muchia ( 46 , 190 ) = 38
191.muchia ( 88 , 191 ) = 29
192.muchia ( 112 , 192 ) = 86
193.muchia ( 13 , 193 ) = 102
194.muchia ( 18 , 194 ) = 108
195.muchia ( 175 , 195 ) = 46
196.muchia ( 36 , 196 ) = 15
197.muchia ( 85 , 197 ) = 66
198.muchia ( 188 , 198 ) = 64
199.muchia ( 128 , 199 ) = 16
Prin urmare costul arborelui minim de acoperire gasit este: 12728
Timpul de executie: 0.04500269889831543
