Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 35 , 1 ) = 162
2.muchia ( 59 , 2 ) = 143
3.muchia ( 39 , 3 ) = 31
4.muchia ( 43 , 4 ) = 151
5.muchia ( 16 , 5 ) = 66
6.muchia ( 74 , 6 ) = 32
7.muchia ( 90 , 7 ) = 31
8.muchia ( 133 , 8 ) = 100
9.muchia ( 11 , 9 ) = 15
10.muchia ( 103 , 10 ) = 124
11.muchia ( 3 , 11 ) = 181
12.muchia ( 31 , 12 ) = 2
13.muchia ( 45 , 13 ) = 42
14.muchia ( 144 , 14 ) = 65
15.muchia ( 144 , 15 ) = 19
16.muchia ( 119 , 16 ) = 18
17.muchia ( 127 , 17 ) = 24
18.muchia ( 28 , 18 ) = 138
19.muchia ( 139 , 19 ) = 189
20.muchia ( 6 , 20 ) = 30
21.muchia ( 127 , 21 ) = 34
22.muchia ( 146 , 22 ) = 38
23.muchia ( 6 , 23 ) = 108
24.muchia ( 67 , 24 ) = 31
25.muchia ( 86 , 25 ) = 207
26.muchia ( 83 , 26 ) = 199
27.muchia ( 45 , 27 ) = 151
28.muchia ( 46 , 28 ) = 120
29.muchia ( 141 , 29 ) = 11
30.muchia ( 29 , 30 ) = 80
31.muchia ( 39 , 31 ) = 81
32.muchia ( 109 , 32 ) = 14
33.muchia ( 35 , 33 ) = 17
34.muchia ( 85 , 34 ) = 52
35.muchia ( 69 , 35 ) = 23
36.muchia ( 87 , 36 ) = 33
37.muchia ( 45 , 37 ) = 16
38.muchia ( 68 , 38 ) = 86
39.muchia ( 136 , 39 ) = 64
40.muchia ( 62 , 40 ) = 109
41.muchia ( 72 , 41 ) = 42
42.muchia ( 61 , 42 ) = 221
43.muchia ( 123 , 43 ) = 5
44.muchia ( 81 , 44 ) = 80
45.muchia ( 44 , 45 ) = 35
46.muchia ( 34 , 46 ) = 82
47.muchia ( 24 , 47 ) = 10
48.muchia ( 37 , 48 ) = 304
49.muchia ( 35 , 49 ) = 164
50.muchia ( 103 , 50 ) = 137
51.muchia ( 61 , 51 ) = 17
52.muchia ( 74 , 52 ) = 6
53.muchia ( 75 , 53 ) = 20
54.muchia ( 47 , 54 ) = 93
55.muchia ( 3 , 55 ) = 4
56.muchia ( 94 , 56 ) = 41
57.muchia ( 51 , 57 ) = 141
58.muchia ( 133 , 58 ) = 24
59.muchia ( 77 , 59 ) = 81
60.muchia ( 15 , 60 ) = 62
61.muchia ( 119 , 61 ) = 66
62.muchia ( 59 , 62 ) = 83
63.muchia ( 86 , 63 ) = 4
64.muchia ( 96 , 64 ) = 22
65.muchia ( 102 , 65 ) = 57
66.muchia ( 21 , 66 ) = 112
67.muchia ( 66 , 67 ) = 17
68.muchia ( 115 , 68 ) = 11
69.muchia ( 0 , 69 ) = 21
70.muchia ( 5 , 70 ) = 166
71.muchia ( 128 , 71 ) = 43
72.muchia ( 53 , 72 ) = 65
73.muchia ( 110 , 73 ) = 121
74.muchia ( 144 , 74 ) = 15
75.muchia ( 52 , 75 ) = 28
76.muchia ( 145 , 76 ) = 91
77.muchia ( 141 , 77 ) = 14
78.muchia ( 64 , 78 ) = 95
79.muchia ( 45 , 79 ) = 2
80.muchia ( 145 , 80 ) = 69
81.muchia ( 83 , 81 ) = 7
82.muchia ( 31 , 82 ) = 82
83.muchia ( 129 , 83 ) = 29
84.muchia ( 105 , 84 ) = 116
85.muchia ( 29 , 85 ) = 25
86.muchia ( 139 , 86 ) = 110
87.muchia ( 55 , 87 ) = 12
88.muchia ( 12 , 88 ) = 73
89.muchia ( 32 , 89 ) = 56
90.muchia ( 35 , 90 ) = 17
91.muchia ( 81 , 91 ) = 62
92.muchia ( 6 , 92 ) = 40
93.muchia ( 94 , 93 ) = 49
94.muchia ( 83 , 94 ) = 26
95.muchia ( 144 , 95 ) = 168
96.muchia ( 16 , 96 ) = 63
97.muchia ( 61 , 97 ) = 5
98.muchia ( 32 , 98 ) = 144
99.muchia ( 39 , 99 ) = 373
100.muchia ( 140 , 100 ) = 224
101.muchia ( 20 , 101 ) = 14
102.muchia ( 6 , 102 ) = 156
103.muchia ( 93 , 103 ) = 37
104.muchia ( 135 , 104 ) = 23
105.muchia ( 74 , 105 ) = 11
106.muchia ( 136 , 106 ) = 73
107.muchia ( 108 , 107 ) = 38
108.muchia ( 20 , 108 ) = 14
109.muchia ( 83 , 109 ) = 26
110.muchia ( 92 , 110 ) = 55
111.muchia ( 144 , 111 ) = 61
112.muchia ( 130 , 112 ) = 128
113.muchia ( 18 , 113 ) = 132
114.muchia ( 24 , 114 ) = 3
115.muchia ( 33 , 115 ) = 77
116.muchia ( 91 , 116 ) = 223
117.muchia ( 140 , 117 ) = 82
118.muchia ( 65 , 118 ) = 215
119.muchia ( 107 , 119 ) = 30
120.muchia ( 86 , 120 ) = 170
121.muchia ( 81 , 121 ) = 92
122.muchia ( 77 , 122 ) = 256
123.muchia ( 63 , 123 ) = 57
124.muchia ( 136 , 124 ) = 72
125.muchia ( 137 , 125 ) = 68
126.muchia ( 104 , 126 ) = 109
127.muchia ( 136 , 127 ) = 21
128.muchia ( 5 , 128 ) = 22
129.muchia ( 20 , 129 ) = 14
130.muchia ( 53 , 130 ) = 3
131.muchia ( 148 , 131 ) = 113
132.muchia ( 120 , 132 ) = 139
133.muchia ( 51 , 133 ) = 29
134.muchia ( 108 , 134 ) = 13
135.muchia ( 121 , 135 ) = 15
136.muchia ( 92 , 136 ) = 86
137.muchia ( 135 , 137 ) = 74
138.muchia ( 86 , 138 ) = 77
139.muchia ( 78 , 139 ) = 76
140.muchia ( 106 , 140 ) = 94
141.muchia ( 110 , 141 ) = 24
142.muchia ( 63 , 142 ) = 81
143.muchia ( 52 , 143 ) = 132
144.muchia ( 69 , 144 ) = 58
145.muchia ( 86 , 145 ) = 106
146.muchia ( 88 , 146 ) = 91
147.muchia ( 140 , 147 ) = 26
148.muchia ( 72 , 148 ) = 32
149.muchia ( 23 , 149 ) = 198
Prin urmare costul arborelui minim de acoperire gasit este: 11135
Timpul de executie: 0.021001100540161133
